curve,rank,conductor,series,alpha,mode,n,zero_index,gamma,cycles_over_logK_range,median_abs_phase_step_rad,intercept,cos_coef,sin_coef,amplitude,phase_rad_for_amp_cos_gamma_u_minus_phase,rss_constant,rss_zero_model,rmse_zero_model,r2_vs_constant,adjusted_r2_vs_constant,const_loo_rmse,zero_model_loo_rmse,loo_skill_vs_constant,series_range
37a1,1,37,s1_proxy_all_adjusted,0.75,all,7,3,8.014330807872879,8.8109825254292353,2.9173342768087043,-2.6163544978527353,0.051906211547983611,-0.045552966239903223,0.06906031805977865,-0.72030148607148525,0.01270188531371433,0.0064649424626742023,0.030390182772623422,0.49102496967958364,0.23653745451937558,0.049697193413936559,0.055194763329533929,-0.23347975129446263,0.12808843043386187
37a1,1,37,s1_proxy_all_adjusted,0.75,all,7,4,9.9330983536053523,10.920482085791996,1.6537466985393703,-2.6103970404983987,0.037753271728209623,-0.030004270934386196,0.048224120525812438,-0.67152921291808232,0.01270188531371433,0.0043162764535093785,0.02483165161502374,0.66018615765259203,0.49027923647888805,0.049697193413936559,0.046459741441331047,0.12604343176034261,0.12808843043386187
37a1,1,37,s1_proxy_all_adjusted,0.75,all,7,5,10.7751381625408,11.846223513255627,0.72867141689513915,-2.2692682754070019,0.058822606848508346,0.35980640661700641,0.36458298001839951,1.4087458431069071,0.01270188531371433,0.0039270018080595197,0.023685444017248591,0.69083315499475473,0.53624973249213204,0.049697193413936559,0.034365338804611997,0.5218352759502336,0.12808843043386187
37a1,1,37,s1_proxy_all_adjusted,0.75,all,7,6,11.757324722849777,12.926042755442705,1.589128603580928,-2.6032148742245349,0.0084254815154767987,-0.032015570946305166,0.033105672048540875,-1.3134629349518951,0.01270188531371433,0.0089586607524335463,0.035774413746686023,0.29469834350017265,-0.057952484749741018,0.049697193413936559,0.061982953089673408,-0.5555386311091044,0.12808843043386187
37a1,1,37,s1_proxy_all_adjusted,0.75,all,7,7,12.958386413882845,14.246494060155396,3.0351742159024653,-2.6031933998347752,0.018896618515940218,0.014220843646459721,0.02364983267074058,0.64513764573707288,0.01270188531371433,0.010661102355926532,0.039025819943663179,0.16066772037252997,-0.25899841944120494,0.049697193413936559,0.065562935365565969,-0.74041594111002862,0.12808843043386187
37a1,1,37,s1_proxy_all_adjusted,0.75,all,7,8,15.603857873204319,17.15493437268972,1.7069659114058666,-2.6006931733156882,0.026644551562865014,0.047768872513887756,0.054697324516234186,1.0619991397624706,0.01270188531371433,0.0023062293758177033,0.018151069924457044,0.81843408920346272,0.72765113380519408,0.049697193413936559,0.032446896650634091,0.57373212440329846,0.12808843043386187
389a1,2,389,product_residual_logP_plus_rank_loglogK,0.75,all,7,1,2.876099071260465,3.1619930928462825,3.1234675240659033,-1.7488724849326411,-0.0091359433187789968,-0.041262861930722407,0.042262148963792684,-1.78868959317159,0.026996886696179168,0.016152797128411753,0.048036886315788258,0.40167926360568695,0.10251889540853043,0.072452706197685762,0.077458706716172568,-0.14296060077434625,0.20635909380823936
389a1,2,389,product_residual_logP_plus_rank_loglogK,0.75,all,7,2,4.4168960836652582,4.8559505644040923,1.4307289918948891,-1.7629631446063831,0.044630154938576347,-0.03703097157095632,0.057992616644968749,-0.69260785543080294,0.026996886696179168,0.016372906735785248,0.048363071413432268,0.3935261158056983,0.090289173708547499,0.072452706197685762,0.081703676360975808,-0.27166867697895647,0.20635909380823936
389a1,2,389,product_residual_logP_plus_rank_loglogK,0.75,all,7,3,5.7934026339283653,6.3692865435719108,0.69191390858041046,-1.7208341166592289,0.046012967136847174,0.0023457304446422769,0.046072720736412984,0.05093567353578006,0.026996886696179168,0.025892220316262305,0.060818489101661349,0.04091828781402429,-0.43862256827896351,0.072452706197685762,0.14955483267636716,-3.2608052033579797,0.20635909380823936
389a1,2,389,product_residual_logP_plus_rank_loglogK,0.75,all,7,4,6.9859666528286892,7.6803954786640594,2.127728554754043,-1.75578852345713,0.049567170836857521,-0.029145248332061977,0.05750086890741548,-0.53154552240081732,0.026996886696179168,0.013178776092395898,0.043389887058088772,0.51184089333304228,0.26776133999956353,0.072452706197685762,0.079579971909217506,-0.20641947671508531,0.20635909380823936
