mode,alpha,curve,rank,conductor,window,n,K_min,K_max,slope_logP_vs_loglogK,expected_slope,slope_error_vs_minus_rank,intercept,r2,rmse_logP,adjusted_mean,adjusted_sd_pop,adjusted_min,adjusted_max,adjusted_range,adjusted_first,adjusted_last,adjusted_endpoint_drift,adjusted_last_step,P_first,P_last
P_only,0.65,389a1,2,389,all,7,1000,1000000,-2.0123484637558784,-2.0,-0.012348463755878392,-1.7103607646941006,0.9824644288529625,0.061955546281348,-1.7388858849346354,0.06202086501098425,-1.8371205917352764,-1.6363265424814637,0.20079404925381272,-1.7268719110100674,-1.782073968522857,-0.055202057512789615,-0.14574742604139335,0.0037269637724048526,0.000881700792116474
P_only,0.75,11a1,0,11,all,7,1000,1000000,0.03851340901577637,-0.0,0.03851340901577637,-1.790060042633105,0.11123398019277209,0.025087790130759544,-1.7010935408263586,0.026611459073844893,-1.7399496934116399,-1.6686238808712395,0.07132581254040038,-1.7057769456410312,-1.6686238808712395,0.037153064769791744,0.01559252151688062,0.1816312137610162,0.1885062943505913
P_only,0.75,37a1,1,37,all,7,1000,1000000,-1.023883012091809,-1.0,-0.023883012091808986,-2.0486101897353435,0.9702096283994809,0.041345759244885295,-2.1037802744594996,0.041710476976488595,-2.1652593263666176,-2.038302366522657,0.1269569598439606,-2.038302366522657,-2.0871261548401545,-0.04882378831749756,-0.020999294875303498,0.018855566560404904,0.008978539318429424
P_only,0.75,389a1,2,389,all,7,1000,1000000,-1.9609989538721417,-2.0,0.03900104612785826,-1.8436536780030321,0.9818464938610515,0.06144850018865989,-1.753560727795022,0.06210231959801636,-1.8633610254492128,-1.6570019316409734,0.20635909380823936,-1.7651387694322223,-1.7747867394053642,-0.00964796997314199,-0.11778480776439082,0.0035870388946531886,0.0008881494155628484
P_only,0.85,11a1,0,11,all,7,1000,1000000,0.020744273140309282,-0.0,0.020744273140309282,-1.7532190238313912,0.025435605883573076,0.02959088216988441,-1.7052994690326724,0.02997454797154834,-1.7693988155392801,-1.6730159773609188,0.09638283817836135,-1.7228472049105679,-1.6843365154264622,0.03851068948410563,0.01526054403562127,0.17855703501414397,0.18556751230226257
P_only,0.85,37a1,1,37,all,7,1000,1000000,-1.1443533789755478,-1.0,-0.14435337897554779,-1.7559636434844692,0.9561805228687076,0.05645459150064583,-2.0894219241102463,0.06552676558696777,-2.204031992389115,-1.9661677466009269,0.2378642457881881,-1.9661677466009269,-2.080976072721068,-0.11480832612014114,0.003095815084686926,0.020265963388268228,0.00903392822111376
P_only,0.85,389a1,2,389,all,7,1000,1000000,-1.9047284842225745,-2.0,0.09527151577742554,-1.991754058721031,0.9819660919555283,0.05948469238311131,-1.7716755536717435,0.06340711291444633,-1.884969225454583,-1.6814746332011108,0.2034945922534721,-1.801046308237411,-1.757528654205755,0.04351765403165597,-0.07605402100464431,0.00346052220129936,0.0009036102018937403
P_only,0.92,11a1,0,11,all,7,1000,1000000,0.0010120106282097547,-0.0,0.0010120106282097547,-1.7189849776066475,5.553688457282657e-05,0.031293758055931514,-1.7166472192081066,0.031294627071042976,-1.7876721497364512,-1.683757977805746,0.10391417193070507,-1.7178967865929886,-1.7058509459607,0.01204584063228853,0.016050801268861603,0.17944315856247467,0.18161777349043434
P_only,0.92,37a1,1,37,all,7,1000,1000000,-1.2494171780169565,-1.0,-0.2494171780169565,-1.5017705381984232,0.9448026663413823,0.06959394107976895,-2.077927632201436,0.09026095397205577,-2.200017229943908,-1.8992585593585178,0.30075867058538996,-1.8992585593585178,-2.085354865160104,-0.18609630580158631,0.010941806320581726,0.021668335161307194,0.008994457005721932
P_only,0.92,389a1,2,389,all,7,1000,1000000,-1.902003129860612,-2.0,0.09799687013938807,-2.00682634488511,0.9836758912175856,0.05646449099635959,-1.7804522339685724,0.06081319598189425,-1.8896054227673158,-1.6905790763640427,0.1990263464032731,-1.8197398223167056,-1.7624201686475214,0.057319653669184234,-0.07184109228347868,0.00339643376612454,0.0008992009722383192
L2_only,0,11a1,0,11,all,7,1000,1000000,-0.02641051079668,-0.0,-0.02641051079668,-1.6747168978194464,0.016754811178087636,0.04662441661807632,-1.735725539135707,0.047019986033703574,-1.814141226245412,-1.6511821851285466,0.16295904111686532,-1.6511821851285466,-1.7398395378110318,-0.0886573526824852,-0.020672555236579404,0.19182300422277243,0.17554856726446896
L2_only,0,37a1,1,37,all,7,1000,1000000,-1.2026477017694837,-1.0,-0.20264770176948366,-1.6112907796574585,0.9502808081392118,0.06339426061034714,-2.0794097435804546,0.07873833215534987,-2.1911478776084796,-1.915786761905876,0.2753611157026037,-1.915786761905876,-2.074137218841371,-0.1583504569354952,0.026222473306978245,0.02131313998384076,0.00909592167665068
L2_only,0,389a1,2,389,all,7,1000,1000000,-1.752342597535303,-2.0,0.24765740246469692,-2.4014389151242277,0.9492362650843601,0.09338650131500659,-1.8293469267260047,0.10944545259542728,-2.0149314081234433,-1.6439954696165193,0.37093593850692397,-1.9270720839560243,-1.7921902407511192,0.13488184320490504,-0.1481947711345999,0.003050769113509466,0.0008728262313004274
L2_only,0.25,11a1,0,11,all,7,1000,1000000,-0.02641051079668,-0.0,-0.02641051079668,-1.6747168978194464,0.016754811178087636,0.04662441661807632,-1.735725539135707,0.047019986033703574,-1.814141226245412,-1.6511821851285466,0.16295904111686532,-1.6511821851285466,-1.7398395378110318,-0.0886573526824852,-0.020672555236579404,0.19182300422277243,0.17554856726446896
L2_only,0.25,37a1,1,37,all,7,1000,1000000,-1.2026477017694837,-1.0,-0.20264770176948366,-1.6112907796574585,0.9502808081392118,0.06339426061034714,-2.0794097435804546,0.07873833215534987,-2.1911478776084796,-1.915786761905876,0.2753611157026037,-1.915786761905876,-2.074137218841371,-0.1583504569354952,0.026222473306978245,0.02131313998384076,0.00909592167665068
