p	M_p	T_p_minus_1
890657	-121	-117.6218441522
890803	-133	-122.3928438644
890893	-139	-125.8063882856
891017	-132	-123.0340597167
891161	-130	-118.7133867880
891329	-129	-116.6064958158
891481	-144	-123.6140515153
891563	-144	-127.2030480452
891659	-158	-140.6956282956
891799	-152	-135.7209329855
891893	-163	-146.5906763649
892027	-171	-150.7204041718
892153	-185	-157.3667885858
892271	-180	-155.4772061592
892457	-188	-156.9616979941
892597	-190	-160.8517356781
892747	-194	-160.1959158214
892877	-194	-161.5375576110
893029	-196	-162.4471187517
893119	-198	-160.9208980166
893257	-208	-165.0931866528
893383	-218	-166.0404656357
893521	-213	-166.7665996929
893701	-206	-159.7627349869
893873	-206	-158.0880197706
894011	-207	-159.6401830530
894151	-200	-154.7509710014
894227	-216	-168.1401175448
894343	-218	-169.4538239928
894451	-227	-177.1950849008
894611	-227	-176.7396801016
894749	-218	-168.5605189241
894923	-213	-161.8983221096
895079	-217	-162.5352234070
895231	-215	-161.5426931269
895319	-228	-171.9597357125
895457	-213	-159.6346446656
895613	-222	-165.4660499817
895703	-229	-170.1148081216
895801	-238	-178.1230734462
895927	-240	-179.6147373868
896111	-235	-173.3406732360
896297	-238	-173.4611124338
896443	-227	-169.8355120122
896543	-238	-176.4676514296
896677	-249	-182.0473189003
896879	-256	-182.2813292599
897019	-274	-190.2603931060
897137	-276	-191.7252109068
897271	-277	-190.2043175814
897433	-279	-193.3853055207
897553	-291	-201.6365229139
897647	-293	-204.3665229039
897781	-289	-201.8579548021
897947	-278	-194.7733232210
898097	-278	-195.2106243551
898211	-283	-198.3320366035
898291	-282	-198.8250795903
898439	-280	-198.2142145167
898553	-272	-192.2865769318
898717	-264	-185.8822639801
898867	-263	-187.6927136052
899051	-262	-181.2903877287
899183	-244	-171.6823306353
899321	-247	-173.6484214220
899519	-228	-159.9143434850
899711	-215	-147.3756660353
899851	-230	-156.7397836225
900001	-226	-152.9947042256
900143	-228	-154.8288426075
900259	-233	-158.1698605484
900443	-216	-146.5414783435
900577	-214	-145.2547483392
900673	-226	-152.9307668068
900797	-232	-157.9213704017
900959	-234	-156.9013482598
901093	-232	-157.5113932107
901207	-235	-161.6482429444
901339	-220	-149.2068842175
901457	-223	-150.8348642647
901591	-232	-157.1489467142
901751	-214	-145.2640950725
901919	-208	-139.6575625231
902039	-213	-142.6675903745
902201	-205	-137.8073729059
902351	-216	-145.2147088734
902501	-218	-142.9157395955
902639	-207	-136.0392897753
902767	-194	-130.3091040959
902933	-192	-129.4543536868
903073	-195	-131.5080179693
903223	-188	-126.7917954818
903389	-169	-113.0137119547
903493	-171	-116.9276938488
903673	-165	-113.0516771032
903827	-152	-102.4659124592
904019	-144	-97.0679217154
904117	-147	-99.5113287524
904261	-142	-97.2148126153
904459	-136	-89.7235612696
904573	-130	-87.6835202848
904667	-140	-97.6742709063
904777	-156	-107.2456426240
904873	-161	-112.9921734577
904999	-166	-116.5752492166
905143	-158	-111.2245677000
905227	-172	-122.5264446728
905413	-171	-119.3990446302
905587	-174	-116.4362368610
905687	-176	-120.9680259335
905819	-179	-122.8313332161
905999	-169	-114.5127681213
906121	-179	-122.2015075966
906263	-175	-121.0878613627
906377	-177	-124.3664168799
906487	-185	-130.5529621111
