curve,K,c_K,E_K,D_K,D_K_times_zeta2,D_K_zeta2_minus_1,scale_label,scale_value,rank,normalization_name,normalization_status,normalized_value,L2E_estimate,L2E_prime_count,L2E_max_p,Sym2_good_partial_estimate,Sym2_good_prime_count,Sym2_bad_primes_deferred
11a1,1000,3.853428423451027829206955253,0.191823004222772293270481288806,0.739176216743797291931917823338,1.21589614032586056795111133798,0.215896140325860567951111337976,c_K (constant),3.853428423451027829206955253,0,D*zeta(2),COMPUTED_FROM_SOURCE_D_K_times_zeta2,1.21589614032586056795111,0.545915496934310807456615,100,541,1.05536953821812262696858,99,11
11a1,1000,3.853428423451027829206955253,0.191823004222772293270481288806,0.739176216743797291931917823338,1.21589614032586056795111133798,0.215896140325860567951111337976,c_K (constant),3.853428423451027829206955253,0,D*exp(rank*EulerGamma),COMPUTED_FROM_SOURCE_D_K_AND_EULERGAMMA,0.739176216743797291931918,0.545915496934310807456615,100,541,1.05536953821812262696858,99,11
11a1,1000,3.853428423451027829206955253,0.191823004222772293270481288806,0.739176216743797291931917823338,1.21589614032586056795111133798,0.215896140325860567951111337976,c_K (constant),3.853428423451027829206955253,0,D/L2E_partial^rank,COMPUTED_WITH_AP_TABLE_EC_EULER_FACTORS,0.739176216743797291931918,0.545915496934310807456615,100,541,1.05536953821812262696858,99,11
11a1,1000,3.853428423451027829206955253,0.191823004222772293270481288806,0.739176216743797291931917823338,1.21589614032586056795111133798,0.215896140325860567951111337976,c_K (constant),3.853428423451027829206955253,0,D*zeta(2)/L2E_partial^rank,COMPUTED_WITH_AP_TABLE_EC_EULER_FACTORS,1.21589614032586056795111,0.545915496934310807456615,100,541,1.05536953821812262696858,99,11
11a1,1000,3.853428423451027829206955253,0.191823004222772293270481288806,0.739176216743797291931917823338,1.21589614032586056795111133798,0.215896140325860567951111337976,c_K (constant),3.853428423451027829206955253,0,D/Sym2_good_partial^rank,COMPUTED_GOOD_PRIME_PLACEHOLDER_FULL_SYM2_DEFER,0.739176216743797291931918,0.545915496934310807456615,100,541,1.05536953821812262696858,99,11
11a1,1000,3.853428423451027829206955253,0.191823004222772293270481288806,0.739176216743797291931917823338,1.21589614032586056795111133798,0.215896140325860567951111337976,c_K (constant),3.853428423451027829206955253,0,D*zeta(2)/Sym2_good_partial^rank,COMPUTED_GOOD_PRIME_PLACEHOLDER_FULL_SYM2_DEFER,1.21589614032586056795111,0.545915496934310807456615,100,541,1.05536953821812262696858,99,11
11a1,3000,4.11870601611409026621819396154,0.162977809375223317655984661508,0.671257683966827661432460339747,1.10417463199067534746727725116,0.10417463199067534746727725116,c_K (constant),4.11870601611409026621819396154,0,D,COMPUTED_FROM_SOURCE_D_K,0.671257683966827661432460,0.545915496934310807456615,100,541,1.05536953821812262696858,99,11
11a1,3000,4.11870601611409026621819396154,0.162977809375223317655984661508,0.671257683966827661432460339747,1.10417463199067534746727725116,0.10417463199067534746727725116,c_K (constant),4.11870601611409026621819396154,0,D*zeta(2),COMPUTED_FROM_SOURCE_D_K_times_zeta2,1.10417463199067534746728,0.545915496934310807456615,100,541,1.05536953821812262696858,99,11
11a1,3000,4.11870601611409026621819396154,0.162977809375223317655984661508,0.671257683966827661432460339747,1.10417463199067534746727725116,0.10417463199067534746727725116,c_K (constant),4.11870601611409026621819396154,0,D*exp(rank*EulerGamma),COMPUTED_FROM_SOURCE_D_K_AND_EULERGAMMA,0.671257683966827661432460,0.545915496934310807456615,100,541,1.05536953821812262696858,99,11
11a1,3000,4.11870601611409026621819396154,0.162977809375223317655984661508,0.671257683966827661432460339747,1.10417463199067534746727725116,0.10417463199067534746727725116,c_K (constant),4.11870601611409026621819396154,0,D/L2E_partial^rank,COMPUTED_WITH_AP_TABLE_EC_EULER_FACTORS,0.671257683966827661432460,0.545915496934310807456615,100,541,1.05536953821812262696858,99,11
11a1,3000,4.11870601611409026621819396154,0.162977809375223317655984661508,0.671257683966827661432460339747,1.10417463199067534746727725116,0.10417463199067534746727725116,c_K (constant),4.11870601611409026621819396154,0,D*zeta(2)/L2E_partial^rank,COMPUTED_WITH_AP_TABLE_EC_EULER_FACTORS,1.10417463199067534746728,0.545915496934310807456615,100,541,1.05536953821812262696858,99,11
11a1,3000,4.11870601611409026621819396154,0.162977809375223317655984661508,0.671257683966827661432460339747,1.10417463199067534746727725116,0.10417463199067534746727725116,c_K (constant),4.11870601611409026621819396154,0,D/Sym2_good_partial^rank,COMPUTED_GOOD_PRIME_PLACEHOLDER_FULL_SYM2_DEFER,0.671257683966827661432460,0.545915496934310807456615,100,541,1.05536953821812262696858,99,11
11a1,3000,4.11870601611409026621819396154,0.162977809375223317655984661508,0.671257683966827661432460339747,1.10417463199067534746727725116,0.10417463199067534746727725116,c_K (constant),4.11870601611409026621819396154,0,D*zeta(2)/Sym2_good_partial^rank,COMPUTED_GOOD_PRIME_PLACEHOLDER_FULL_SYM2_DEFER,1.10417463199067534746728,0.545915496934310807456615,100,541,1.05536953821812262696858,99,11
11a1,10000,3.82961928616491246352743944971,0.176399560413630729571380415782,0.675543158631052865321778183381,1.11122395525847434974364043028,0.111223955258474349743640430279,c_K (constant),3.82961928616491246352743944971,0,D,COMPUTED_FROM_SOURCE_D_K,0.675543158631052865321778,0.545915496934310807456615,100,541,1.05536953821812262696858,99,11
11a1,10000,3.82961928616491246352743944971,0.176399560413630729571380415782,0.675543158631052865321778183381,1.11122395525847434974364043028,0.111223955258474349743640430279,c_K (constant),3.82961928616491246352743944971,0,D*zeta(2),COMPUTED_FROM_SOURCE_D_K_times_zeta2,1.11122395525847434974364,0.545915496934310807456615,100,541,1.05536953821812262696858,99,11
11a1,10000,3.82961928616491246352743944971,0.176399560413630729571380415782,0.675543158631052865321778183381,1.11122395525847434974364043028,0.111223955258474349743640430279,c_K (constant),3.82961928616491246352743944971,0,D*exp(rank*EulerGamma),COMPUTED_FROM_SOURCE_D_K_AND_EULERGAMMA,0.675543158631052865321778,0.545915496934310807456615,100,541,1.05536953821812262696858,99,11
11a1,10000,3.82961928616491246352743944971,0.176399560413630729571380415782,0.675543158631052865321778183381,1.11122395525847434974364043028,0.111223955258474349743640430279,c_K (constant),3.82961928616491246352743944971,0,D/L2E_partial^rank,COMPUTED_WITH_AP_TABLE_EC_EULER_FACTORS,0.675543158631052865321778,0.545915496934310807456615,100,541,1.05536953821812262696858,99,11
11a1,10000,3.82961928616491246352743944971,0.176399560413630729571380415782,0.675543158631052865321778183381,1.11122395525847434974364043028,0.111223955258474349743640430279,c_K (constant),3.82961928616491246352743944971,0,D*zeta(2)/L2E_partial^rank,COMPUTED_WITH_AP_TABLE_EC_EULER_FACTORS,1.11122395525847434974364,0.545915496934310807456615,100,541,1.05536953821812262696858,99,11
11a1,10000,3.82961928616491246352743944971,0.176399560413630729571380415782,0.675543158631052865321778183381,1.11122395525847434974364043028,0.111223955258474349743640430279,c_K (constant),3.82961928616491246352743944971,0,D/Sym2_good_partial^rank,COMPUTED_GOOD_PRIME_PLACEHOLDER_FULL_SYM2_DEFER,0.675543158631052865321778,0.545915496934310807456615,100,541,1.05536953821812262696858,99,11
11a1,10000,3.82961928616491246352743944971,0.176399560413630729571380415782,0.675543158631052865321778183381,1.11122395525847434974364043028,0.111223955258474349743640430279,c_K (constant),3.82961928616491246352743944971,0,D*zeta(2)/Sym2_good_partial^rank,COMPUTED_GOOD_PRIME_PLACEHOLDER_FULL_SYM2_DEFER,1.11122395525847434974364,0.545915496934310807456615,100,541,1.05536953821812262696858,99,11
11a1,30000,4.10373252882216125438151122054,0.16956096834235249268361991403,0.695832861405096622694145292675,1.14459917855772388910119734836,0.144599178557723889101197348356,c_K (constant),4.10373252882216125438151122054,0,D,COMPUTED_FROM_SOURCE_D_K,0.695832861405096622694145,0.545915496934310807456615,100,541,1.05536953821812262696858,99,11
11a1,30000,4.10373252882216125438151122054,0.16956096834235249268361991403,0.695832861405096622694145292675,1.14459917855772388910119734836,0.144599178557723889101197348356,c_K (constant),4.10373252882216125438151122054,0,D*zeta(2),COMPUTED_FROM_SOURCE_D_K_times_zeta2,1.14459917855772388910120,0.545915496934310807456615,100,541,1.05536953821812262696858,99,11
