p,n,n_prime,M_p,A,B,C,D,delta_W,DA_ratio,one_minus_DA,B_plus_C_plus_D_minus_A,C_plus_D_minus_A,one_minus_DA_times_p,one_minus_DA_times_p_over_M
331,33107,33437,0,3.481008808172337e-05,1.0944187094031783e-05,4.872764020679812e-06,3.4663541190359816e-05,-1.5670404223348042e-05,0.9957901028282519,0.004209897171748162,1.5670404223348042e-05,4.7262171293162604e-06,1.3934759638486418,inf
337,34343,34679,1,3.3819432526534624e-05,6.823485971450376e-06,4.695763570844528e-06,3.385513146172083e-05,-1.1554948477481108e-05,1.0010555746362153,-0.0010555746362152893,1.1554948477481108e-05,4.731462506030732e-06,-0.3557286524045525,-0.3557286524045525
347,36405,36751,2,3.202937692747626e-05,4.821146033927971e-06,4.3825015982578504e-06,3.1970036199546264e-05,-9.144306904255828e-06,0.9981473030816567,0.0018526969183433523,9.144306904255828e-06,4.323160870327858e-06,0.6428858306651433,0.32144291533257163
349,36863,37211,1,3.1774856644665154e-05,9.260607074180337e-06,4.326805134833666e-06,3.232052348894547e-05,-1.4133079053294321e-05,1.0171729128594489,-0.017172912859448976,1.4133079053294321e-05,4.872471979113984e-06,-5.993346587947692,-5.993346587947692
353,37707,38059,0,3.098700266936638e-05,1.3810388675446798e-05,4.311202872888092e-06,3.095652297000219e-05,-1.8091111848970695e-05,0.9990163714867999,0.0009836285132000914,1.8091111848970695e-05,4.2807231735238954e-06,0.3472208651596323,inf
359,39001,39359,-1,2.9859779981794372e-05,1.4460222876060862e-05,3.96769591772955e-06,3.03717879676111e-05,-1.8939926779607142e-05,1.0171470783150078,-0.017147078315007735,1.8939926779607142e-05,4.479703903546278e-06,-6.155801115087777,6.155801115087777
367,40749,41115,-1,2.8882162273729412e-05,1.4824515176381616e-05,3.879698576142666e-06,2.918801923873959e-05,-1.9010070717534465e-05,1.0105898222616243,-0.0105898222616242,1.9010070717534465e-05,4.1855555411528486e-06,-3.8864647700160813,3.8864647700160813
373,42107,42479,-2,2.7745523599789394e-05,1.5893706779368333e-05,3.7898565464853457e-06,2.8252505746540848e-05,-2.0190545472605132e-05,1.0182725744903693,-0.018272574490369342,2.0190545472605132e-05,4.296838693236798e-06,-6.815670284907765,3.4078351424538824
379,43467,43845,-3,2.6735698573241392e-05,1.7354362987864986e-05,3.704390631446618e-06,2.6913518870668536e-05,-2.1236573916738746e-05,1.0066510436201999,-0.006651043620199844,2.1236573916738746e-05,3.882210928873762e-06,-2.520745532055741,0.840248510685247
383,44431,44813,-2,2.660722785162892e-05,1.6907417012692528e-05,3.5627627036613285e-06,2.6794983915480013e-05,-2.065793578020495e-05,1.0070565812003447,-0.00705658120034475,2.065793578020495e-05,3.7505187675124222e-06,-2.702670599732039,1.3513352998660195
389,45817,46205,-3,2.5801037089788322e-05,1.850319623553657e-05,3.464690952113831e-06,2.6225006766487975e-05,-2.2391856864350056e-05,1.01643227267277,-0.016432272672770008,2.2391856864350056e-05,3.888660628813485e-06,-6.392154069707533,2.1307180232358442
397,47709,48105,1,2.5073866724843844e-05,1.0892855241265403e-05,3.4496323288578897e-06,2.496657492206516e-05,-1.4235195767344606e-05,0.9957209710031529,0.004279028996847121,1.4235195767344606e-05,3.342340526079203e-06,1.698774511748307,1.698774511748307
401,48679,49079,0,2.485328019913999e-05,1.4368881823034058e-05,3.318028564812497e-06,2.4474756299173837e-05,-1.7308386487880403e-05,0.9847696603050712,0.015230339694928865,1.7308386487880403e-05,2.9395046648463455e-06,6.107366217666475,inf
409,50643,51051,-1,2.335825496749967e-05,1.3170615337569538e-05,3.192077235468327e-06,2.3166971598274815e-05,-1.617140920381301e-05,0.991810887864226,0.008189112135774041,1.617140920381301e-05,3.0007938662434713e-06,3.349346863531583,-3.349346863531583
419,53143,53561,0,2.2093707944129548e-05,8.300375198310778e-06,2.9607137809539415e-06,2.2272553329476083e-05,-1.1439934364611255e-05,1.008094856046744,-0.008094856046744078,1.1439934364611255e-05,3.1395591663004763e-06,-3.391744683585769,inf
421,53657,54077,-1,2.211476657035349e-05,1.1066948655506769e-05,3.0789643548413453e-06,2.189967042469475e-05,-1.393081686468937e-05,0.9902736415971446,0.009726358402855372,1.393081686468937e-05,2.8638682091826025e-06,4.0947968876021115,-4.0947968876021115
431,56211,56641,-3,2.0789303870750614e-05,1.0803270670403452e-05,2.8245114661579866e-06,2.12059719563683e-05,-1.4044450222179125e-05,1.0200424260575611,-0.020042426057561034,1.4044450222179125e-05,3.241179551775673e-06,-8.638285630808806,2.8794285436029354
433,56785,57217,-4,2.0787158446823305e-05,1.3773116510794272e-05,2.853440447488244e-06,2.084614300954378e-05,-1.668554152100299e-05,1.0028375481368157,-0.002837548136815604,1.668554152100299e-05,2.9124250102087184e-06,-1.2286583432411566,0.30716458581028916
439,58377,58815,-7,2.046208614948313e-05,1.65058358888018e-05,2.7305795051282305e-06,2.045533528230651e-05,-1.922966452675341e-05,0.9996700792320341,0.00032992076796587827,1.922966452675341e-05,2.723828637951609e-06,0.14483521713702055,-0.02069074530528865
443,59419,59861,-9,2.0351721430245826e-05,2.0212753594078564e-05,2.7084300246314866e-06,2.0356327158865618e-05,-2.292578934732984e-05,1.000226306587164,-0.0002263065871639864,2.292578934732984e-05,2.7130357532512775e-06,-0.10025381811364598,0.011139313123738441
449,61067,61515,-7,1.9628000935781142e-05,1.7460335547583604e-05,2.632002950445841e-06,1.976039020483762e-05,-2.022472776708592e-05,1.006744918623635,-0.006744918623635007,2.022472776708592e-05,2.7643922195023164e-06,-3.028468462012118,0.4326383517160169
457,63217,63673,-6,1.8935202391378038e-05,1.5452627969558386e-05,2.5783599078934047e-06,1.8977380730676134e-05,-1.807316621674989e-05,1.0022275092933415,-0.002227509293341452,1.807316621674989e-05,2.6205382471915003e-06,-1.0179717470570437,0.16966195784284063
