p,M(p),R1,delta2_ratio,total,margin,method
2447,-12,0.996065779228,0.126059938492,1.122125717720,0.122125717720,float
2459,-11,0.992391446786,0.126776401758,1.119167848544,0.119167848544,float
2467,-10,0.987677981007,0.127833915592,1.115511896599,0.115511896599,float
2473,-8,0.987653628276,0.127793079264,1.115446707540,0.115446707540,float
2477,-8,0.988658182848,0.126964763328,1.115622946176,0.115622946176,float
2503,-1,0.990398824892,0.129041132684,1.119439957577,0.119439957577,float
2531,-1,0.993718304089,0.129929833855,1.123648137944,0.123648137944,float
2539,-1,0.993725766300,0.129660600916,1.123386367216,0.123386367216,float
2543,-3,0.992082149726,0.129433942226,1.121516091951,0.121516091951,float
2549,-4,0.989780709809,0.129145960802,1.118926670611,0.118926670611,float
2551,-5,0.994512346216,0.128984641910,1.123496988126,0.123496988126,float
2557,-7,0.991532425890,0.129261168312,1.120793594201,0.120793594201,float
2689,0,0.986846277190,0.128997918972,1.115844196163,0.115844196163,float
2693,-2,0.994153291727,0.128435159635,1.122588451362,0.122588451362,float
2699,-6,0.994110690410,0.127931588696,1.122042279106,0.122042279106,float
2707,-6,0.989587055402,0.128719176092,1.118306231494,0.118306231494,float
2711,-8,0.991286943670,0.127818287026,1.119105230696,0.119105230696,float
2713,-9,0.987785326584,0.127407780222,1.115193106806,0.115193106806,float
2719,-13,0.986971812493,0.126783137241,1.113754949734,0.113754949734,float
2729,-12,0.993072755243,0.126782836509,1.119855591751,0.119855591751,float
2731,-14,0.973648533084,0.126887518051,1.100536051135,0.100536051135,float
2741,-14,0.984429238500,0.126550159183,1.110979397683,0.110979397683,float
2749,-13,0.989911891111,0.126574027141,1.116485918252,0.116485918252,float
2753,-15,0.985276569656,0.126127058286,1.111403627941,0.111403627941,float
2767,-16,0.985381728843,0.126024265078,1.111405993921,0.111405993921,float
2777,-18,0.983579274203,0.126199120817,1.109778395020,0.109778395020,float
2789,-19,0.985432507900,0.126115175899,1.111547683799,0.111547683799,float
2791,-20,0.975109255858,0.125915867226,1.101025123084,0.101025123084,float
2797,-23,0.973192035739,0.124575742849,1.097767778588,0.097767778588,float
2801,-23,0.972891717357,0.124378878904,1.097270596261,0.097270596261,float
2803,-25,0.970880983854,0.122827508788,1.093708492642,0.093708492642,float
2819,-21,0.982174617362,0.124567879682,1.106742497044,0.106742497044,float
2833,-23,0.972685838482,0.124600484313,1.097286322794,0.097286322794,float
2837,-25,0.978752766199,0.122984358500,1.101737124700,0.101737124700,float
2843,-23,0.975606140318,0.123750488042,1.099356628360,0.099356628360,float
2851,-24,0.969281827173,0.123644848922,1.092926676095,0.092926676095,float
2857,-23,0.967524957297,0.124331683831,1.091856641127,0.091856641127,float
2861,-22,0.977155444076,0.123898845185,1.101054289261,0.101054289261,float
2879,-20,0.993430366876,0.124729370867,1.118159737743,0.118159737743,float
2887,-19,0.983936711417,0.125592776764,1.109529488182,0.109529488182,float
2897,-19,0.983887190504,0.125606505097,1.109493695602,0.109493695602,float
2903,-17,0.990499502197,0.125960666841,1.116460169039,0.116460169039,float
2909,-18,0.987592622879,0.125603132136,1.113195755015,0.113195755015,float
2917,-18,0.977602209570,0.126151241946,1.103753451517,0.103753451517,float
2927,-17,0.980490168960,0.126091250161,1.106581419121,0.106581419121,float
2939,-17,0.989938403002,0.126110377913,1.116048780914,0.116048780914,float
2953,-15,0.986294839898,0.127520537441,1.113815377340,0.113815377340,float
2957,-18,0.987964838692,0.126191672959,1.114156511651,0.114156511651,float
2963,-16,0.988212187610,0.126340819192,1.114553006802,0.114553006802,float
2969,-16,0.988172506922,0.126086351609,1.114258858531,0.114258858531,float
2971,-17,0.974204378753,0.126228159602,1.100432538354,0.100432538354,float
2999,-6,0.995079732127,0.127911683920,1.122991416047,0.122991416047,float
