p,M_p,B_plus_C,B_raw,delta_sq,R,n_farey
2971,-17,8477834.5481617078,8030999.1880809199,446835.3600807884,17.9730610098,2681621
2999,-6,5110230.0189932361,4658304.4162345789,451925.6027586575,10.3076798212,2732391
3001,-7,5585782.5769118024,5130647.0027618697,455135.5741499328,11.2727883606,2736189
3011,-6,5334117.9738986120,4876576.1625729250,457541.8113256868,10.6582088060,2754145
3019,-7,5549811.5437885802,5090847.5501724025,458963.9936161774,11.0920412516,2768887
3023,-8,6159464.8660469148,5700474.2441485683,458990.6218983463,12.4195876172,2776487
3037,-6,5164355.3713510707,4699216.2805129206,465139.0908381502,10.1028195073,2801957
3041,-6,5365615.0900532072,4898847.7976976279,466767.2923555793,10.4952679374,2809429
3049,-3,4481448.2219878640,4012512.7033331939,468935.5186546704,8.5566406120,2824407
3061,-6,5376139.6463605380,4902305.8177979849,473833.8285625526,10.3460443774,2846211
3067,-3,4714991.7349336799,4240345.3861077065,474646.3488259732,8.9336943107,2857681
3079,-3,4469270.9230340486,3991809.5908342963,477461.3321997522,8.3604876911,2880211
3083,-6,5461289.7817709418,4981829.1416965844,479460.6400743573,10.3904861532,2887573
3089,-5,5370907.9357553842,4889760.2972621657,481147.6384932189,10.1627024765,2898985
3617,-3,7005106.6919990815,6344894.9563681940,660211.7356308876,9.6103940811,3975079
3623,-5,8425801.3036432303,7762864.8241837444,662936.4794594861,11.7098169504,3988133
3631,-5,8537894.5648417994,7871957.9973357227,665936.5675060760,11.8208826207,4005539
3637,-7,9378351.5254119057,8710924.9805596806,667426.5448522256,13.0515111329,4018861
3643,-8,9517953.1746548750,8848708.4620354585,669244.7126194168,13.2219325684,4032281
