p,M(p),delta_w,verified,method,margin_or_dw
2851,-24,-1.475673331911164e-06,PASS,exact+wobble,1.475673331911164e-06
2857,-23,-1.446283488808084e-06,PASS,exact+wobble,1.446283488808084e-06
2861,-22,-1.419612003913023e-06,PASS,exact+wobble,1.419612003913023e-06
2879,-20,-1.286351146031361e-06,PASS,exact+wobble,1.286351146031361e-06
2887,-19,-1.252911222128332e-06,PASS,exact+wobble,1.252911222128332e-06
2897,-19,-1.247706255954527e-06,PASS,exact+wobble,1.247706255954527e-06
2903,-17,-1.169302416951590e-06,PASS,exact+wobble,1.169302416951590e-06
2909,-18,-1.236802199996290e-06,PASS,exact+wobble,1.236802199996290e-06
2917,-18,-1.250708498382253e-06,PASS,exact+wobble,1.250708498382253e-06
2927,-17,-1.209718061864399e-06,PASS,exact+wobble,1.209718061864399e-06
2939,-17,-1.134524787119325e-06,PASS,exact+wobble,1.134524787119325e-06
2953,-15,-1.026296178884098e-06,PASS,exact+wobble,1.026296178884098e-06
2957,-18,-1.128365120927396e-06,PASS,exact+wobble,1.128365120927396e-06
2963,-16,-1.094856827109900e-06,PASS,exact+wobble,1.094856827109900e-06
2969,-16,-1.107743705081542e-06,PASS,exact+wobble,1.107743705081542e-06
2971,-17,-1.165281736442410e-06,PASS,exact+wobble,1.165281736442410e-06
2999,-6,-6.821651412834381e-07,PASS,exact+wobble,6.821651412834381e-07
3001,-7,-7.414165661449531e-07,PASS,wobble_float64,7.414165661449531e-07
3011,-6,-6.988475317074797e-07,PASS,wobble_float64,6.988475317074797e-07
3019,-7,-7.213065354819159e-07,PASS,wobble_float64,7.213065354819159e-07
3023,-8,-7.973427508964847e-07,PASS,wobble_float64,7.973427508964847e-07
3037,-6,-6.543591370134741e-07,PASS,wobble_float64,6.543591370134741e-07
3041,-6,-6.766000876365830e-07,PASS,wobble_float64,6.766000876365830e-07
3049,-3,-5.583920541938822e-07,PASS,wobble_float64,5.583920541938822e-07
3061,-6,-6.577493047205021e-07,PASS,wobble_float64,6.577493047205021e-07
3067,-3,-5.746617974526798e-07,PASS,wobble_float64,5.746617974526798e-07
3079,-3,-5.361730758350592e-07,PASS,wobble_float64,5.361730758350592e-07
3083,-6,-6.495831129709135e-07,PASS,wobble_float64,6.495831129709135e-07
3089,-5,-6.353727701994432e-07,PASS,wobble_float64,6.353727701994432e-07
3617,-3,-4.404538508500928e-07,PASS,wobble_float64,4.404538508500928e-07
3623,-5,-5.269309995336387e-07,PASS,wobble_float64,5.269309995336387e-07
3631,-5,-5.287418606484795e-07,PASS,wobble_float64,5.287418606484795e-07
3637,-7,-5.780874261020771e-07,PASS,wobble_float64,5.780874261020771e-07
3643,-8,-5.821489318547795e-07,PASS,wobble_float64,5.821489318547795e-07
3659,-7,-5.273904961841387e-07,PASS,wobble_float64,5.273904961841387e-07
3671,-3,-4.246270426130178e-07,PASS,wobble_float64,4.246270426130178e-07
3673,-4,-4.647220802677179e-07,PASS,wobble_float64,4.647220802677179e-07
3677,-6,-5.126313385491593e-07,PASS,wobble_float64,5.126313385491593e-07
3691,-9,-5.467725669444775e-07,PASS,wobble_float64,5.467725669444775e-07
3697,-7,-5.139848461436559e-07,PASS,wobble_float64,5.139848461436559e-07
3701,-8,-5.506746204815343e-07,PASS,wobble_float64,5.506746204815343e-07
3709,-9,-5.606221148360001e-07,PASS,wobble_float64,5.606221148360001e-07
3719,-7,-4.992832592030905e-07,PASS,wobble_float64,4.992832592030905e-07
3727,-8,-5.343688681163142e-07,PASS,wobble_float64,5.343688681163142e-07
3733,-12,-6.452664111944472e-07,PASS,wobble_float64,6.452664111944472e-07
3739,-10,-6.158390822835877e-07,PASS,wobble_float64,6.158390822835877e-07
3761,-6,-5.018628525915692e-07,PASS,wobble_float64,5.018628525915692e-07
3767,-8,-5.250649839182837e-07,PASS,wobble_float64,5.250649839182837e-07
3769,-9,-5.658280634995296e-07,PASS,wobble_float64,5.658280634995296e-07
