p,N,T_N,M_half,M_third,M_fifth,M_sixth,M_seventh,p_mod6,p_mod12,p_mod30,p_mod24
1331443,1331442,11.3948141348,160,-49,1,-62,40,1,7,13,19
1331959,1331958,3.4129656302,160,-49,1,-63,49,1,7,19,7
1332169,1332168,3.9401491758,165,-45,5,-72,45,1,1,19,1
1332217,1332216,3.0728095228,163,-43,2,-72,43,1,1,7,1
1332671,1332670,2.7221950253,164,-48,3,-73,39,5,11,11,23
1353019,1353018,40.4407093625,210,40,-55,-90,26,1,7,19,19
1353089,1353088,40.0079417861,209,42,-57,-87,23,5,5,29,17
1353091,1353090,39.2514385232,208,41,-58,-86,23,1,7,1,19
1353101,1353100,39.3191139102,208,41,-59,-86,24,5,5,11,5
1354081,1354080,37.2583258884,231,41,-66,-85,22,1,1,1,1
1354523,1354522,43.2899740721,239,45,-59,-88,17,5,11,23,11
1354571,1354570,44.6216972275,238,44,-57,-84,16,5,11,11,11
1355591,1355590,41.0259503094,245,19,-71,-82,18,5,11,11,23
1359209,1359208,31.0296997256,181,36,-40,-64,7,5,5,29,17
1359367,1359366,28.5912728282,179,31,-42,-59,5,1,7,7,7
1361471,1361470,18.4209547057,143,38,-42,-59,17,5,11,11,23
1362707,1362706,3.4492056300,129,34,-42,-50,17,5,11,17,11
1362761,1362760,2.7676335113,126,35,-38,-48,18,5,5,11,17
1362833,1362832,4.0049726249,130,34,-39,-49,13,5,5,23,17
1362869,1362868,5.4382382588,131,38,-40,-50,15,5,5,29,5
1363577,1363576,17.0854666147,140,48,-47,-59,12,5,5,17,17
1363727,1363726,21.4865894370,158,46,-44,-63,8,5,11,17,23
1364263,1364262,24.2595912750,169,44,-34,-56,3,1,7,13,7
1364329,1364328,23.8214777243,169,42,-38,-57,5,1,1,19,1
1368617,1368616,31.4723262192,185,44,-17,-47,-6,5,5,17,17
1368659,1368658,32.2426841448,185,45,-15,-49,-5,5,11,29,11
1372243,1372242,44.5876024091,173,81,9,-63,-6,1,7,13,19
1372271,1372270,44.7928777121,174,83,6,-66,-6,5,11,11,23
1373027,1373026,38.5175831189,177,78,8,-65,-2,5,11,17,11
1415989,1415988,34.0417504757,143,104,42,-33,5,1,1,19,13
1416497,1416496,27.2394687212,151,90,57,-38,2,5,5,17,17
1416551,1416550,29.3046879310,153,92,60,-39,4,5,11,11,23
1420093,1420092,37.1466077750,146,87,105,-33,13,1,1,13,13
1450021,1450020,-16.5031809995,64,5,99,-52,-13,1,1,1,13
1470991,1470990,-12.8940771513,49,5,123,-7,-77,1,7,1,7
1471007,1471006,-11.8454787507,52,5,122,-5,-77,5,11,17,23
1471213,1471212,-11.8211146267,55,2,110,-6,-76,1,1,13,13
1471339,1471338,-14.6370608212,49,5,101,-4,-79,1,7,19,19
1471807,1471806,-10.9985580983,49,-3,95,-11,-86,1,7,7,7
1471829,1471828,-11.6811148376,49,-3,93,-11,-87,5,5,29,5
1471853,1471852,-11.9564533972,47,-4,95,-10,-89,5,5,23,5
1471867,1471866,-11.7110884655,48,-4,95,-9,-89,1,7,7,19
1472021,1472020,-11.1651776931,46,-1,96,-11,-90,5,5,11,5
1472041,1472040,-10.3011354968,48,-1,99,-14,-91,1,1,1,1
1472077,1472076,-10.7551187086,47,0,97,-12,-91,1,1,7,13
1562867,1562866,-30.8432206332,10,-126,144,-9,-82,5,11,17,11
1563743,1563742,-36.8648379901,4,-129,131,7,-88,5,11,23,23
1567837,1567836,-56.1141777011,-38,-146,116,31,-82,1,1,7,13
1572749,1572748,-41.2704290887,25,-128,123,24,-61,5,5,29,5
1573501,1573500,-37.1302726479,25,-128,138,25,-64,1,1,1,13
1573543,1573542,-37.1995906914,27,-129,137,27,-65,1,7,13,7
1573921,1573920,-38.4664816447,9,-137,124,31,-59,1,1,1,1
1576543,1576542,-34.9682560978,40,-141,146,-1,-63,1,7,13,7
1576559,1576558,-36.7120367003,38,-144,145,-1,-65,5,11,29,23
1900303,1900302,-56.9950465357,-115,-32,31,112,-47,1,7,13,7
1900981,1900980,-58.3227334776,-125,-13,31,112,-47,1,1,1,13
1901147,1901146,-59.9405628779,-136,-5,30,116,-45,5,11,17,11
1901377,1901376,-57.8427501021,-131,-2,35,114,-45,1,1,7,1
1902469,1902468,-70.7938811109,-131,-8,17,113,-43,1,1,19,13
1902611,1902610,-67.7876593775,-122,-13,22,110,-40,5,11,11,11
1911031,1911030,-63.6735829583,-104,-38,32,86,-39,1,7,1,7
2225173,2225172,-9.5470178712,26,8,-53,-54,87,1,1,13,13
2225263,2225262,-7.8192783526,25,14,-53,-56,90,1,7,13,7
2226517,2226516,-11.0449317072,12,18,-50,-40,88,1,1,7,13
2226673,2226672,-15.9025832289,6,8,-53,-34,85,1,1,13,1
2329189,2329188,-5.2942983676,-32,54,182,51,-105,1,1,19,13
2329519,2329518,-9.4077227407,-52,63,183,56,-106,1,7,19,7
2330197,2330196,-8.5462908337,-58,66,183,57,-98,1,1,7,13
2660657,2660656,-62.1052258227,-23,-150,-93,-36,28,5,5,17,17
2660659,2660658,-62.8660064266,-24,-151,-93,-35,27,1,7,19,19
2661137,2661136,-59.7567495322,-20,-154,-86,-27,26,5,5,17,17
2661157,2661156,-60.1150357797,-21,-153,-87,-27,26,1,1,7,13
2661221,2661220,-59.0789999104,-20,-149,-87,-27,28,5,5,11,5
2661283,2661282,-57.9971802042,-18,-145,-88,-28,28,1,7,13,19
2662921,2662920,-43.3598704773,1,-128,-95,-48,21,1,1,1,1
2662951,2662950,-44.6315467467,-2,-128,-96,-48,20,1,7,1,7
2662981,2662980,-42.8232569067,4,-128,-95,-51,20,1,1,1,13
2663651,2663650,-42.0006316487,5,-125,-100,-54,21,5,11,11,11
2663701,2663700,-42.9374350490,4,-126,-102,-52,23,1,1,1,13
2664847,2664846,-49.9928566607,0,-139,-111,-45,33,1,7,7,7
2705147,2705146,-52.1736776856,-1,-217,-44,34,0,5,11,17,11
2705827,2705826,-49.3724270810,-8,-203,-41,38,1,1,7,7,19
2705863,2705862,-49.0725422729,-7,-202,-38,37,2,1,7,13,7
2705869,2705868,-49.0022691739,-8,-201,-37,38,2,1,1,19,13
2706101,2706100,-42.5891006763,-6,-211,-38,41,5,5,5,11,5
2706107,2706106,-42.3324008635,-5,-212,-39,41,5,5,11,17,11
2706241,2706240,-38.5047537368,5,-211,-38,39,8,1,1,1,1
2706323,2706322,-38.7341169583,5,-213,-39,40,7,5,11,23,11
2706481,2706480,-39.5448448048,1,-210,-46,42,6,1,1,1,1
2706701,2706700,-40.7249395530,-7,-201,-38,31,4,5,5,11,5
2707183,2707182,-43.6313046255,-6,-217,-35,46,-7,1,7,13,7
2707339,2707338,-41.3321520558,-4,-219,-35,49,2,1,7,19,19
2707379,2707378,-42.5757601309,-8,-218,-34,50,3,5,11,29,11
2707417,2707416,-46.1638699697,-18,-218,-36,53,3,1,1,7,1
2707423,2707422,-45.8404138070,-16,-219,-36,53,4,1,7,13,7
2707459,2707458,-43.1626569940,-11,-218,-35,54,5,1,7,19,19
2707609,2707608,-44.4551897348,-17,-219,-33,52,8,1,1,19,1
2707619,2707618,-44.0220613932,-16,-218,-33,52,8,5,11,29,11
2725451,2725450,-61.0010221521,-7,-216,-24,35,48,5,11,11,11
2732519,2732518,-31.0419384236,18,-234,10,55,62,5,11,29,23
2819681,2819680,-109.8919630918,-148,-211,24,121,24,5,5,11,17
2819987,2819986,-112.4451979284,-162,-208,24,128,21,5,11,17,11
2820809,2820808,-104.5422579758,-145,-213,10,134,18,5,5,29,17
2822003,2822002,-102.5645201731,-119,-217,-8,123,30,5,11,23,11
2822009,2822008,-102.4835695257,-118,-218,-9,124,30,5,5,29,17
2825423,2825422,-106.3096011057,-129,-213,-10,112,34,5,11,23,23
2825447,2825446,-105.2620572993,-128,-212,-8,110,37,5,11,17,23
2825461,2825460,-106.1779306529,-131,-211,-8,110,36,1,1,1,13
2826211,2826210,-101.7040477332,-128,-208,16,103,39,1,7,1,19
2826337,2826336,-98.9941250332,-128,-203,15,105,48,1,1,7,1
2826661,2826660,-93.3039008152,-117,-202,14,99,50,1,1,1,13
2826829,2826828,-93.6382678285,-116,-208,13,102,50,1,1,19,13
2826847,2826846,-92.8373040539,-114,-206,12,101,47,1,7,7,7
2913151,2913150,-58.5113936362,-125,3,-60,66,157,1,7,1,7
2913961,2913960,-66.0893382387,-126,2,-66,70,155,1,1,1,1
2914129,2914128,-63.6976858022,-119,1,-64,70,157,1,1,19,1
2914183,2914182,-64.2822242609,-120,2,-65,68,159,1,7,13,7
2914193,2914192,-64.4677515132,-119,1,-65,67,159,5,5,23,17
2914267,2914266,-63.0601995349,-110,-2,-66,67,159,1,7,7,19
2921063,2921062,-37.1273703574,-54,4,-102,13,165,5,11,23,23
2921111,2921110,-37.8065724906,-56,3,-107,15,168,5,11,11,23
2921179,2921178,-36.9772369596,-54,3,-108,17,165,1,7,19,19
2921561,2921560,-37.8080949500,-64,5,-106,25,175,5,5,11,17
