p,N,T_N,M_half,M_third,M_fifth,M_sixth,M_seventh,p_mod6,p_mod12,p_mod30,p_mod24
3636019,3636018,47.6555037307,363,-67,38,-183,-134,1,7,19,19
3636289,3636288,52.9350381177,367,-54,43,-186,-131,1,1,19,1
3638077,3638076,70.2595399237,403,-51,41,-191,-145,1,1,7,13
3641489,3641488,62.0258325537,396,-53,68,-201,-131,5,5,29,17
3641569,3641568,62.0777343487,396,-54,68,-205,-129,1,1,19,1
3641767,3641766,60.8691456641,397,-64,76,-204,-128,1,7,7,7
3641783,3641782,59.3072834481,394,-65,76,-205,-127,5,11,23,23
3643147,3643146,74.0115541995,413,-60,80,-215,-138,1,7,7,19
3684203,3684202,58.2635063244,357,-44,80,-222,-182,5,11,23,11
3685289,3685288,69.3133486547,358,-39,94,-225,-182,5,5,29,17
3685301,3685300,69.9281551971,359,-37,93,-225,-181,5,5,11,5
3710123,3710122,54.0361459786,298,80,9,-236,-122,5,11,23,11
3710167,3710166,54.9242653320,302,79,7,-233,-124,1,7,7,7
3710171,3710170,54.0139325438,301,78,6,-233,-124,5,11,11,11
3710303,3710302,57.3826619486,306,81,12,-236,-121,5,11,23,23
3711881,3711880,43.6896026551,266,78,10,-239,-131,5,5,11,17
3712127,3712126,37.2270134018,254,69,6,-234,-127,5,11,17,23
3712589,3712588,31.5342144553,248,52,16,-223,-128,5,5,29,5
3718573,3718572,13.6663556747,183,25,23,-195,-99,1,1,13,13
3718619,3718618,13.2315607487,184,25,24,-195,-98,5,11,29,11
3718997,3718996,11.8417118708,183,27,18,-195,-98,5,5,17,5
3719011,3719010,12.9771020108,186,28,20,-198,-98,1,7,1,19
3719029,3719028,11.7454910306,183,28,19,-199,-97,1,1,19,13
3762097,3762096,-19.0185569522,105,-42,108,-107,-91,1,1,7,1
3940411,3940410,-106.1124217567,-232,-70,41,146,21,1,7,1,19
3941507,3941506,-114.8455504381,-256,-64,33,140,22,5,11,17,11
3941611,3941610,-114.1136388011,-252,-67,30,144,20,1,7,1,19
3941629,3941628,-112.8863027565,-248,-67,31,143,21,1,1,19,13
3941887,3941886,-105.6963214511,-235,-68,29,145,25,1,7,7,7
3942041,3942040,-105.7739015266,-233,-67,26,144,28,5,5,11,17
3942581,3942580,-101.5724577167,-224,-86,13,146,25,5,5,11,5
3943397,3943396,-107.6727677390,-221,-109,4,149,28,5,5,17,5
3943543,3943542,-108.0638357795,-222,-110,-4,155,26,1,7,13,7
3945937,3945936,-97.3038240030,-214,-115,-26,155,28,1,1,7,1
3945973,3945972,-96.0935913713,-214,-112,-26,154,29,1,1,13,13
3946463,3946462,-102.3516558844,-210,-108,-19,155,26,5,11,23,23
3946469,3946468,-102.4397468976,-210,-107,-20,155,27,5,5,29,5
3946477,3946476,-102.6385288436,-209,-107,-20,153,26,1,1,7,13
3946483,3946482,-102.7181785779,-208,-108,-20,153,25,1,7,13,19
3947143,3947142,-103.2451626018,-206,-113,-9,163,22,1,7,13,7
3953689,3953688,-97.3811117184,-178,-160,8,185,-10,1,1,19,1
3954259,3954258,-91.9535971143,-177,-145,-1,174,5,1,7,19,19
3954361,3954360,-88.4151289145,-171,-144,1,175,5,1,1,1,1
3957017,3957016,-90.9973648555,-184,-142,15,174,10,5,5,17,17
3958337,3958336,-83.6371758086,-182,-121,0,165,6,5,5,17,17
3958477,3958476,-86.7940659265,-196,-119,1,167,9,1,1,7,13
3964589,3964588,-78.3442954736,-191,-87,4,172,28,5,5,29,5
3964607,3964606,-79.0415174454,-191,-88,2,174,27,5,11,17,23
3965023,3965022,-82.1295886287,-201,-84,4,164,29,1,7,13,7
4097021,4097020,-118.2293321814,-259,15,-76,158,-91,5,5,11,5
4687303,4687302,-32.9800984924,72,-28,-230,7,218,1,7,13,7
4687321,4687320,-33.6876835951,71,-28,-233,8,216,1,1,1,1
4687369,4687368,-33.4814349014,71,-25,-233,6,218,1,1,19,1
4690801,4690800,-15.1398650273,76,0,-251,5,220,1,1,1,1
4691969,4691968,-6.7000039143,89,12,-245,-6,228,5,5,29,17
4718927,4718926,2.8488993265,151,-15,-239,31,195,5,11,17,23
4733317,4733316,8.5838458261,212,29,-241,-2,187,1,1,7,13
4733353,4733352,8.8651357621,215,32,-243,-6,185,1,1,13,1
4796893,4796892,83.0176544633,275,136,-44,-13,176,1,1,13,13
4799563,4799562,92.3076350359,262,165,-32,-25,173,1,7,13,19
4799573,4799572,93.0889860979,264,165,-31,-25,174,5,5,23,5
4799953,4799952,89.8542402554,256,168,-36,-20,171,1,1,13,1
5579447,5579446,16.4833588227,118,175,-44,-263,-78,5,11,17,23
5579557,5579556,15.0175600796,114,172,-43,-265,-79,1,1,7,13
5622847,5622846,37.7942211658,117,188,38,-241,-34,1,7,7,7
5622889,5622888,37.2712679020,118,187,39,-242,-36,1,1,19,1
5622899,5622898,36.7284574709,117,187,39,-241,-36,5,11,29,11
5622961,5622960,36.7364725342,120,182,38,-240,-34,1,1,1,1
5623169,5623168,37.5846987011,118,184,37,-233,-31,5,5,29,17
5623213,5623212,34.8593765629,110,186,38,-232,-31,1,1,13,13
5623537,5623536,40.6643975985,125,188,44,-235,-30,1,1,7,1
5623543,5623542,40.5375358137,125,188,44,-236,-31,1,7,13,7
6951173,6951172,-184.2473558961,-450,-158,-110,60,302,5,5,23,5
6951247,6951246,-183.1286551980,-448,-153,-116,53,300,1,7,7,7
6951379,6951378,-185.7857110019,-457,-159,-112,61,298,1,7,19,19
6951391,6951390,-186.4752711357,-460,-158,-111,60,299,1,7,1,7
7507369,7507368,-27.5719026271,-165,338,-352,-33,317,1,1,19,1
7511183,7511182,-2.6030703556,-123,336,-344,-29,340,5,11,23,23
7770097,7770096,27.5818285596,150,187,-83,-125,96,1,1,7,1
7770131,7770130,27.2905851185,152,184,-82,-123,95,5,11,11,11
7776929,7776928,18.1469017408,114,175,-69,-114,73,5,5,29,17
7776931,7776930,17.3674187057,113,174,-70,-113,72,1,7,1,19
7776941,7776940,16.6371625400,113,172,-69,-113,71,5,5,11,5
7776983,7776982,17.1097228786,112,171,-68,-108,71,5,11,23,23
7777009,7777008,17.7598452593,113,171,-67,-110,70,1,1,19,1
7810039,7810038,41.1109711014,153,186,-10,-98,-46,1,7,19,7
7810433,7810432,38.0152872090,155,173,-3,-93,-53,5,5,23,17
7810801,7810800,42.8108129246,160,180,-8,-96,-41,1,1,1,1
7811173,7811172,45.7241577388,171,177,-10,-95,-43,1,1,13,13
7820947,7820946,46.8362465844,166,223,7,-118,-4,1,7,7,19
7832533,7832532,51.8964769777,172,220,-32,-94,-3,1,1,13,13
8084371,8084370,50.5024646614,169,134,190,-88,88,1,7,1,19
8084597,8084596,51.0749639398,175,130,193,-92,89,5,5,17,5
8084837,8084836,47.8813651251,170,133,191,-85,83,5,5,17,5
8084873,8084872,47.2343915627,166,138,190,-87,86,5,5,23,17
8085307,8085306,41.3237893922,150,132,196,-83,95,1,7,7,19
8085313,8085312,40.6455560232,150,131,195,-83,95,1,1,13,1
8085529,8085528,32.4607392939,151,126,190,-81,98,1,1,19,1
8086181,8086180,33.8767299135,156,117,199,-80,95,5,5,11,5
8086187,8086186,33.5404837357,156,115,199,-79,94,5,11,17,11
8087627,8087626,38.8351872110,161,118,213,-74,100,5,11,17,11
8087633,8087632,38.6206745494,161,119,212,-75,100,5,5,23,17
8087647,8087646,37.9916921855,159,119,214,-75,100,1,7,7,7
8089087,8089086,22.2068546231,131,111,185,-65,102,1,7,7,7
8089157,8089156,20.1669640839,127,108,185,-61,104,5,5,17,5
8213347,8213346,5.3307451648,90,104,178,-15,-3,1,7,7,19
8213581,8213580,-0.1032394434,74,109,174,-15,-3,1,1,1,13
8214097,8214096,-3.1630707814,82,123,171,-15,-8,1,1,7,1
8214103,8214102,-3.8917106378,81,122,171,-15,-7,1,7,13,7
8214113,8214112,-2.9585535365,82,124,173,-16,-7,5,5,23,17
8216099,8216098,3.0716125247,95,118,166,-23,24,5,11,29,11
8219317,8219316,-4.3101155982,89,71,153,-29,34,1,1,7,13
8219411,8219410,-3.4923507227,89,73,155,-27,37,5,11,11,11
8219447,8219446,-1.9683715455,95,70,155,-26,38,5,11,17,23
8224751,8224750,-0.3155429614,99,44,185,-26,8,5,11,11,23
8224763,8224762,0.2025158880,98,47,186,-27,8,5,11,23,11
8225593,8225592,12.6508037672,121,52,192,-31,11,1,1,13,1
8225597,8225596,12.4903995882,121,53,192,-31,11,5,5,17,5
8226083,8226082,11.2649361061,109,50,188,-25,13,5,11,23,11
8226209,8226208,8.7645514981,106,49,181,-28,17,5,5,29,17
8226767,8226766,7.4120149142,109,39,187,-27,15,5,11,17,23
8230583,8230582,17.8943675198,160,16,188,-30,22,5,11,23,23
8231369,8231368,7.1356673475,161,23,177,-32,15,5,5,29,17
8231827,8231826,7.4940086352,156,35,184,-26,5,1,7,7,19
8232821,8232820,8.3931253629,143,49,181,-15,-3,5,5,11,5
8300519,8300518,48.6614892700,237,140,161,-88,-149,5,11,29,23
8300771,8300770,44.6829020722,225,141,161,-83,-149,5,11,11,11
8300881,8300880,42.7188465125,222,138,161,-80,-153,1,1,1,1
8300959,8300958,42.0603910621,221,144,157,-85,-155,1,7,19,7
8303857,8303856,34.5139900941,179,133,148,-70,-159,1,1,7,1
8303861,8303860,33.8190995245,177,133,148,-70,-159,5,5,11,5
8303863,8303862,33.1048124856,176,132,148,-69,-160,1,7,13,7
8304917,8304916,41.9690987341,183,132,167,-65,-147,5,5,17,5
8315387,8315386,47.8847723775,206,172,153,-130,-167,5,11,17,11
8315513,8315512,48.1322718823,204,172,158,-130,-165,5,5,23,17
8315651,8315650,45.5356579375,200,167,157,-127,-173,5,11,11,11
8319877,8319876,36.2319039877,229,132,140,-121,-177,1,1,7,13
8319881,8319880,35.7813559120,228,133,140,-121,-178,5,5,11,17
8321311,8321310,43.3750938990,230,159,158,-134,-185,1,7,1,7
8321389,8321388,43.5201771992,231,160,163,-133,-188,1,1,19,13
8321393,8321392,42.8673548825,230,160,162,-133,-189,5,5,23,17
8323457,8323456,47.7584795868,237,189,170,-139,-163,5,5,17,17
8323789,8323788,46.9052923010,238,184,173,-132,-167,1,1,19,13
8323883,8323882,46.5857885383,239,183,174,-130,-167,5,11,23,11
8323891,8323890,46.3930922720,239,183,176,-131,-168,1,7,1,19
8323933,8323932,46.3429924471,236,189,174,-131,-170,1,1,13,13
8324051,8324050,45.7931685515,237,187,170,-131,-168,5,11,11,11
8324171,8324170,49.5605674380,246,186,174,-130,-170,5,11,11,11
8327243,8327242,58.9928852419,233,164,200,-96,-167,5,11,23,11
8327261,8327260,58.9951187496,234,166,200,-97,-168,5,5,11,5
8332651,8332650,51.5588574446,215,160,182,-99,-126,1,7,1,19
8332663,8332662,52.7989644334,218,160,181,-100,-127,1,7,13,7
8333599,8333598,52.7136294182,237,146,177,-113,-134,1,7,19,7
8333623,8333622,51.5271030432,234,148,176,-113,-134,1,7,13,7
8333629,8333628,51.7495653836,235,148,176,-114,-135,1,1,19,13
8333683,8333682,53.5805594310,236,152,175,-112,-133,1,7,13,19
8333687,8333686,53.3305420317,236,152,175,-112,-133,5,11,17,23
8333749,8333748,52.0230712017,234,152,175,-114,-133,1,1,19,13
8334311,8334310,57.4797244128,246,156,166,-105,-138,5,11,11,23
8334449,8334448,56.6290858533,250,147,163,-103,-143,5,5,29,17
8335571,8335570,70.5922615429,249,171,165,-107,-140,5,11,11,11
8335583,8335582,69.9340686624,250,169,165,-107,-139,5,11,23,23
8335721,8335720,73.5650486221,253,174,171,-107,-141,5,5,11,17
8336491,8336490,74.2062204548,266,184,160,-132,-150,1,7,1,19
8336617,8336616,71.8675613088,264,182,158,-135,-149,1,1,7,1
8338333,8338332,63.9352993954,275,172,144,-138,-142,1,1,13,13
8338367,8338366,62.6928377766,275,170,146,-140,-145,5,11,17,23
8338651,8338650,57.7894087460,270,161,148,-131,-147,1,7,1,19
8342549,8342548,38.0176655552,225,149,127,-112,-177,5,5,29,5
8342827,8342826,39.5402730101,230,147,129,-107,-183,1,7,7,19
8342837,8342836,40.0717703944,232,146,129,-107,-184,5,5,17,5
8342947,8342946,40.4098294176,226,157,131,-108,-187,1,7,7,19
8343053,8343052,41.8264097528,231,158,131,-110,-184,5,5,23,5
8343263,8343262,40.5595731752,228,147,130,-98,-172,5,11,23,23
8343659,8343658,39.5024164192,219,155,119,-93,-165,5,11,29,11
8343887,8343886,40.4150258238,213,164,115,-92,-167,5,11,17,23
8344067,8344066,41.2053444664,214,169,118,-94,-170,5,11,17,11
8363153,8363152,37.2006529477,223,87,157,-85,-165,5,5,23,17
8363183,8363182,38.6863734347,228,86,155,-85,-162,5,11,23,23
8376469,8376468,33.3336774905,211,152,101,-87,-137,1,1,19,13
8379719,8379718,34.1105907679,196,172,88,-127,-141,5,11,29,23
8382113,8382112,57.8032186824,216,194,112,-136,-152,5,5,23,17
8382359,8382358,56.9331819243,209,199,107,-141,-150,5,11,29,23
8382443,8382442,57.3788664625,208,203,105,-140,-148,5,11,23,11
8383171,8383170,51.2282818390,205,190,95,-142,-137,1,7,1,19
8383267,8383266,52.9042788251,207,193,97,-145,-139,1,7,7,19
8385757,8385756,39.2650158278,203,192,111,-169,-138,1,1,7,13
8386153,8386152,39.5008386552,204,185,113,-173,-141,1,1,13,1
8387473,8387472,43.4655739108,223,183,104,-185,-136,1,1,13,1
8387507,8387506,41.7212454189,217,186,102,-182,-137,5,11,17,11
8387543,8387542,41.2979999658,216,189,101,-186,-138,5,11,23,23
8387671,8387670,38.6503827113,214,186,95,-185,-142,1,7,1,7
8387921,8387920,42.5797924608,222,192,94,-191,-149,5,5,11,17
8388673,8388672,48.0762389230,228,202,100,-188,-168,1,1,13,1
8407471,8407470,66.0646102214,237,276,126,-209,-116,1,7,1,7
8407591,8407590,71.9560592679,244,286,127,-208,-117,1,7,1,7
8570447,8570446,-3.2148939454,264,-232,148,59,-36,5,11,17,23
8570951,8570950,-7.0133944836,256,-236,146,65,-36,5,11,11,23
8570963,8570962,-6.6694708961,256,-234,147,64,-37,5,11,23,11
8571067,8571066,-10.3683610892,257,-245,148,63,-41,1,7,7,19
8571151,8571150,-9.8771863188,256,-239,148,64,-40,1,7,1,7
8571181,8571180,-11.3999662292,254,-239,148,64,-41,1,1,1,13
8571509,8571508,-14.6970956943,251,-249,144,67,-43,5,5,29,5
8571581,8571580,-13.8261425119,247,-245,152,65,-40,5,5,11,5
8584231,8584230,-19.4906254911,315,-239,76,28,-123,1,7,1,7
8584273,8584272,-19.5604916222,315,-240,76,27,-123,1,1,13,1
8584943,8584942,-7.0080042958,319,-234,77,26,-110,5,11,23,23
8584951,8584950,-7.7071313592,317,-234,78,26,-110,1,7,1,7
8585177,8585176,-9.6860893204,310,-232,76,28,-95,5,5,17,17
8585387,8585386,-3.6631940847,322,-232,82,22,-96,5,11,17,11
8585513,8585512,-4.4708728279,320,-233,81,21,-98,5,5,23,17
9433763,9433762,-28.8567566457,-48,-58,77,2,-77,5,11,23,11
9433777,9433776,-28.9324871233,-48,-58,75,2,-77,1,1,7,1
9479207,9479206,-35.3613186034,-130,-103,77,63,10,5,11,17,23
9479711,9479710,-28.1719609402,-117,-99,76,64,4,5,11,11,23
9479741,9479740,-28.2612849964,-119,-101,78,67,3,5,5,11,5
9480703,9480702,-26.2287123039,-118,-116,67,61,-9,1,7,13,7
9511559,9511558,-35.5637352974,-64,-192,19,81,-13,5,11,29,23
9511693,9511692,-36.4083979867,-64,-192,17,77,-15,1,1,13,13
9513457,9513456,-36.4708756162,-63,-202,3,88,-8,1,1,7,1
9515647,9515646,-42.8190246755,-78,-212,23,82,-6,1,7,7,7
9515659,9515658,-43.4533551393,-80,-211,22,83,-5,1,7,19,19
9515749,9515748,-45.0551746866,-81,-215,20,87,-1,1,1,19,13
9516173,9516172,-48.6764941484,-87,-224,23,83,4,5,5,23,5
9543799,9543798,-15.4119294835,-58,-205,33,143,5,1,7,19,7
9543811,9543810,-16.4301631458,-60,-206,31,145,5,1,7,1,19
9544523,9544522,-7.3495477084,-37,-195,30,143,5,5,11,23,11
9544999,9544998,-9.9893700173,-38,-202,35,143,-2,1,7,19,7
9545057,9545056,-18.8802266669,-38,-206,36,145,-5,5,5,17,17
9545077,9545076,-18.3915462352,-38,-204,39,142,-6,1,1,7,13
9555127,9555126,-46.0312953017,-31,-284,0,160,25,1,7,7,7
9555137,9555136,-46.1484381623,-30,-284,0,159,24,5,5,17,17
9555151,9555150,-46.4595837790,-32,-283,-2,159,24,1,7,1,7
9563171,9563170,-47.0115426648,-44,-307,-46,184,14,5,11,11,11
9583169,9583168,-102.1536947652,-135,-342,-143,151,-18,5,5,29,17
9583177,9583176,-103.7080014606,-138,-344,-144,152,-18,1,1,7,1
9583261,9583260,-103.8770753382,-135,-348,-145,156,-21,1,1,1,13
9583297,9583296,-103.9691750097,-135,-348,-144,154,-23,1,1,7,1
9590767,9590766,-110.2058866154,-63,-407,-183,157,-21,1,7,7,7
9591649,9591648,-113.2684327558,-40,-427,-175,151,-4,1,1,19,1
9593819,9593818,-103.2199119013,-10,-415,-165,137,-15,5,11,29,11
