p,n,M_p,B_prime,C_prime,correction_over_C,margin,S5,B_positive
81001,1994315117,-3,5772325248.3058309555,332370382.8192306161,-8.183573,8.683573,478650726.4536333084,1
84349,2162584227,-3,9183761721.7451305389,360358412.2453769445,-12.242538,12.742538,518945430.4488929510,1
84421,2166275783,-3,9094995968.1369800568,361013564.3785349727,-12.096474,12.596474,519891821.1008434296,1
84449,2167712165,-3,9444737184.2269287109,361232440.9580867887,-12.572936,13.072936,520196192.4941183329,1
84649,2177995049,-3,9612420365.7704677582,362932457.9529069066,-12.742712,13.242712,522669886.5366868973,1
84653,2178202229,-3,9717549146.4367065430,362934807.8979929090,-12.887458,13.387458,522657244.0077943802,1
84659,2178510085,-3,9724241600.5799541473,362964584.6316385269,-12.895579,13.395579,522705945.2095552683,1
90089,2466936637,-3,6213667051.7605199814,410997765.1681265235,-7.059247,7.559247,591888790.3058620691,1
91433,2541086873,-3,5003013759.1125659943,423413554.3696385622,-5.407952,5.907952,609752141.7299691439,1
91513,2545529465,-3,4606591287.3899736404,424188269.1495683193,-4.929890,5.429890,610882442.1677591801,1
