p,wobble_p,wobble_pm1,delta_w,farey_size_p,mertens_p,m_over_sqrt_p,violation
877,7.199537488306883e-04,7.155147534296855e-04,-4.438995401002781e-06,234139,0,0.0000000000,0
881,7.250151418197173e-04,7.207331502294093e-04,-4.281991590307987e-06,236361,1,0.0336908560,0
883,7.284761374275282e-04,7.235212819129041e-04,-4.954855514624035e-06,237495,0,0.0000000000,0
887,7.311483658647322e-04,7.253951074057534e-04,-5.753258458978771e-06,239671,-1,-0.0335767139,0
907,6.914093739032789e-04,6.874129025978394e-04,-3.996471305439480e-06,250437,-1,-0.0332044550,0
911,6.896021205467924e-04,6.855045521988358e-04,-4.097568347956587e-06,252687,-1,-0.0331314781,0
919,6.832231168256208e-04,6.797796580526846e-04,-3.443458772936199e-06,257173,0,0.0000000000,0
929,6.768973158774386e-04,6.748118758395945e-04,-2.085440037844031e-06,262847,3,0.0984268072,0
937,6.731145949655103e-04,6.711190040090176e-04,-1.995590956492695e-06,267257,4,0.1306743041,0
941,6.717027361106454e-04,6.691392849782649e-04,-2.563451132380499e-06,269585,3,0.0977972050,0
947,6.618382086488329e-04,6.587796836077206e-04,-3.058525041112268e-06,273039,1,0.0324956337,0
953,6.612210463841029e-04,6.583554723907189e-04,-2.865573993383972e-06,276543,2,0.0647863548,0
967,6.524219038689159e-04,6.506685728587836e-04,-1.753331010132344e-06,284677,4,0.1286313283,0
971,6.460004459718280e-04,6.430972181901859e-04,-2.903227781642136e-06,287047,1,0.0320915272,0
977,6.460074878475721e-04,6.433350723400465e-04,-2.672415507525634e-06,290621,2,0.0639856688,0
983,6.447418917578513e-04,6.422611781395541e-04,-2.480713618297175e-06,294281,2,0.0637900932,0
991,6.385210355234207e-04,6.357956802035537e-04,-2.725355319866925e-06,298971,1,0.0317660469,0
997,6.372707991998068e-04,6.345345373629803e-04,-2.736261836826562e-06,302647,1,0.0316703178,0
1009,6.254124509405238e-04,6.230451183152852e-04,-2.367332625238631e-06,309935,1,0.0314814275,0
1013,6.218278245576280e-04,6.189693384338357e-04,-2.858486123792376e-06,312459,0,0.0000000000,0
1019,6.207450186870128e-04,6.174836255697081e-04,-3.261393117304722e-06,316145,-1,-0.0313265745,0
1021,6.223942755359303e-04,6.186955578588380e-04,-3.698717677092346e-06,317421,-2,-0.0625917544,0
1031,6.135684867221970e-04,6.093569667931086e-04,-4.211519929088448e-06,323563,-5,-0.1557186650,0
1033,6.175799746678482e-04,6.128473651493406e-04,-4.732609518507628e-06,324931,-6,-0.1866814174,0
1039,6.147031184384001e-04,6.094028239623685e-04,-5.300294476031633e-06,328693,-8,-0.2481888194,0
1049,6.055487873361721e-04,6.010937759253653e-04,-4.455011410806758e-06,335019,-5,-0.1543768803,0
1051,6.094200486642325e-04,6.045244005031663e-04,-4.895648161066255e-06,336309,-6,-0.1850759095,0
1061,5.996634018340634e-04,5.953027185761007e-04,-4.360683257962706e-06,342707,-5,-0.1535013900,0
1063,6.027690319858574e-04,5.979014128572630e-04,-4.867619128594400e-06,344117,-6,-0.1840283016,0
1069,6.002209375958580e-04,5.947658008678303e-04,-5.455136728027684e-06,347969,-8,-0.2446815001,0
1087,5.826671062464551e-04,5.781718621799078e-04,-4.495244066547331e-06,359587,-8,-0.2426471613,0
1091,5.858751494594399e-04,5.808014405088727e-04,-5.073708950567167e-06,362281,-10,-0.3027524210,0
1093,5.910836102691136e-04,5.856498130873704e-04,-5.433797181743252e-06,363661,-11,-0.3327228322,0
1097,5.944844457949789e-04,5.886972205845979e-04,-5.787225210380988e-06,366423,-12,-0.3623080072,0
1103,5.928273175197530e-04,5.870693085141510e-04,-5.758009005601950e-06,370457,-12,-0.3613212382,0
1109,5.983748603384997e-04,5.918850880586707e-04,-6.489772279828993e-06,374425,-15,-0.4504281102,0
1117,5.856797545719738e-04,5.796819031550689e-04,-5.997851416904851e-06,379809,-13,-0.3889705901,0
1123,5.816749369221431e-04,5.759172910131856e-04,-5.757645908957510e-06,383927,-12,-0.3580893196,0
1129,5.805413995327588e-04,5.747613738657723e-04,-5.780025666986483e-06,388069,-12,-0.3571365304,0
1151,5.512644654297913e-04,5.479181658896704e-04,-3.346299540120889e-06,403213,-6,-0.1768534713,0
1153,5.540838159870912e-04,5.503494866037268e-04,-3.734329383364363e-06,404749,-7,-0.2061500224,0
1163,5.479068037438172e-04,5.446352946808717e-04,-3.271509062945446e-06,411727,-6,-0.1759387058,0
1171,5.435645621342350e-04,5.406745658693204e-04,-2.889996264914593e-06,417365,-5,-0.1461139080,0
1181,5.367384611391647e-04,5.337971901506690e-04,-2.941270988495652e-06,424519,-6,-0.1745927886,0
1187,5.364080502603260e-04,5.330095879152544e-04,-3.398462345071567e-06,428825,-8,-0.2322012897,0
1193,5.310730377010692e-04,5.281021486781437e-04,-2.970889022925515e-06,433265,-6,-0.1737124832,0
1201,5.274176737122087e-04,5.246593980872892e-04,-2.758275624919538e-06,438987,-5,-0.1442774642,0
1213,5.190955854480250e-04,5.170369919314834e-04,-2.058593516541672e-06,447771,-2,-0.0574248137,0
