p,M,n,old_D_sq,delta_sq,dilution_raw,C_A,C_W,W
1153,-7,403597,89646724.186012,67237.855736,512493.472625,0.131197,0.634003,0.00055035
1163,-6,410565,91805696.429089,67864.888215,520400.823543,0.130409,0.632866,0.00054464
1171,-5,416195,93654717.271789,69105.692643,527301.088617,0.131055,0.632589,0.00054067
1173,-6,417949,95125961.378637,68756.555384,534246.723206,0.128698,0.638234,0.00054457
1181,-6,423339,95664948.612336,70017.524021,534049.377295,0.131107,0.629881,0.00053380
1185,-8,426423,97247808.117811,70574.465606,540783.469935,0.130504,0.633214,0.00053481
1187,-8,427639,97474189.324198,70217.823446,541413.179113,0.129694,0.632149,0.00053301
1193,-6,432073,98589846.667868,71258.154472,544728.333702,0.130814,0.629498,0.00052810
1201,-5,437787,100554886.222165,72832.904122,552009.262918,0.131941,0.629591,0.00052466
1223,-3,454049,105729278.130198,74586.036079,569872.590802,0.130882,0.626702,0.00051285
1237,-3,464497,110564606.736460,76754.766128,589195.078979,0.130271,0.633386,0.00051245
1239,-3,466351,112213020.879612,76431.383766,596564.011495,0.128119,0.638761,0.00051596
1249,-3,473559,113406775.072862,78730.442275,598523.727581,0.131541,0.631110,0.00050570
1311,-4,521997,134760709.337688,86044.439571,677237.787376,0.127052,0.647886,0.00049457
1499,-3,682285,198868281.578748,112421.118592,874214.500166,0.128597,0.639949,0.00042720
1511,-3,693213,202747404.116819,113822.415117,884236.205115,0.128724,0.637087,0.00042191
1551,-3,730633,219683167.912591,120674.240259,933081.577912,0.129329,0.637867,0.00041153
1553,-4,732321,219385224.208329,121148.319475,930866.824756,0.130146,0.634887,0.00040908
1559,-4,738073,221949228.190132,121327.997706,938015.262054,0.129345,0.634779,0.00040743
1567,-3,745543,225132153.003842,123200.120406,946765.569395,0.130127,0.634284,0.00040503
1571,-4,749449,227791075.533406,124245.764464,955386.117728,0.130048,0.636725,0.00040556
1579,-4,757149,231514941.865368,125021.501658,966021.951319,0.129419,0.637270,0.00040385
1581,-5,759351,233686211.420153,125636.933726,973484.833554,0.129059,0.640332,0.00040527
1583,-7,760983,234560833.765771,125170.127404,976266.096172,0.128213,0.640785,0.00040505
1595,-4,772749,239099598.433724,127059.513935,987430.188617,0.128677,0.638249,0.00040041
1597,-5,774301,239046796.104036,128527.363017,986468.782543,0.130290,0.636350,0.00039872
1599,-7,776633,241634933.343316,127984.197202,995399.053892,0.128576,0.640184,0.00040062
1601,-8,778233,241966781.798569,129384.018818,995960.916944,0.129909,0.639229,0.00039952
1605,-8,782529,244713587.453432,129317.075431,1004238.517995,0.128771,0.641005,0.00039963
1607,-10,784097,245801315.349949,129709.460032,1007939.543599,0.128688,0.642082,0.00039980
1609,-11,786231,248189715.403317,129956.109622,1016233.577498,0.127880,0.645609,0.00040150
1613,-11,790155,250723477.782674,131168.980161,1024048.489698,0.128089,0.647344,0.00040158
1615,-13,792303,254218875.884818,130669.445796,1036793.211856,0.126032,0.653625,0.00040497
1619,-13,795903,254567542.242272,130804.325156,1036078.395235,0.126249,0.650221,0.00040187
1621,-14,797953,257640202.881401,132949.801491,1047181.493391,0.126960,0.655502,0.00040463
1627,-14,803875,261071988.681518,132925.270469,1057210.076933,0.125732,0.656907,0.00040400
1635,-15,812149,265151138.305799,134326.820430,1068012.901115,0.125773,0.656862,0.00040200
1637,-16,813829,266557134.615483,134083.635756,1072770.311009,0.124988,0.658426,0.00040246
1645,-13,822033,267909175.346947,136464.259067,1072665.231866,0.127220,0.651795,0.00039647
1653,-11,829999,267861351.567916,137408.851166,1067344.244294,0.128739,0.642340,0.00038883
1657,-10,833681,268733149.455551,138416.882362,1068667.955859,0.129523,0.640297,0.00038665
1659,-10,836165,271866592.619722,138019.861068,1079216.907928,0.127889,0.644698,0.00038884
1663,-11,839809,273844123.031066,138581.919293,1084959.288197,0.127730,0.645317,0.00038828
1667,-12,843775,276491371.678593,139768.919884,1092920.215795,0.127886,0.646998,0.00038835
1669,-13,845993,280208762.986986,140077.918108,1106035.106842,0.126649,0.653047,0.00039151
1677,-13,854281,283305294.409551,141258.480249,1112714.537553,0.126949,0.650620,0.00038820
1693,-9,870415,286158959.203503,144193.120649,1113610.309413,0.129483,0.639080,0.00037771
1695,-10,872767,288987218.041910,144539.048395,1122910.097940,0.128718,0.642681,0.00037939
1697,-11,874495,290402449.016656,144756.339116,1127508.227927,0.128386,0.644038,0.00037974
1699,-13,876755,294482475.278220,144789.790755,1141745.288076,0.126814,0.650490,0.00038309
1705,-14,882977,297919750.057335,146366.950095,1150981.508147,0.127167,0.651134,0.00038212
1709,-13,886885,298817482.507262,146403.233126,1152058.532691,0.127080,0.648872,0.00037990
1721,-9,899419,302931884.739784,149046.193766,1159728.777699,0.128518,0.644094,0.00037447
1723,-9,901619,305211413.537746,149875.178178,1166958.439063,0.128432,0.646529,0.00037545
1729,-8,908079,308450063.349879,150803.377861,1175027.368277,0.128340,0.646370,0.00037406
1733,-9,912079,309402587.606448,150940.722257,1176200.951102,0.128329,0.644180,0.00037193
1741,-9,920495,313528968.453444,152899.260105,1186439.946238,0.128872,0.643849,0.00037003
1743,-11,923027,316969687.659305,152814.985495,1197542.941179,0.127607,0.648093,0.00037204
1747,-11,926843,317550709.544606,153168.499490,1197539.978549,0.127903,0.645424,0.00036966
1749,-12,929381,320831390.945518,153440.067701,1207988.255134,0.127021,0.649278,0.00037144
1753,-12,933229,322025043.816967,154803.382479,1210244.144983,0.127911,0.647809,0.00036975
1759,-12,939681,326985182.741371,154770.725417,1224623.399320,0.126382,0.651008,0.00037031
1767,-8,948605,330370049.736351,156456.726597,1231232.370485,0.127073,0.648366,0.00036714
1771,-7,952597,331559410.732913,157961.179210,1233271.515900,0.128083,0.646720,0.00036538
1777,-7,958839,334373674.913867,159373.433452,1239827.793499,0.128545,0.645927,0.00036370
1783,-7,965431,337103746.716971,160434.056256,1245605.915745,0.128800,0.644509,0.00036168
1787,-8,969697,339101702.361070,160541.980553,1250273.794899,0.128405,0.644079,0.00036063
1789,-9,972075,342071216.291190,161039.275246,1259544.446212,0.127855,0.647269,0.00036201
1801,-7,985059,347154689.874256,164185.426762,1269871.880766,0.129293,0.643978,0.00035777
1811,-7,996023,351873341.380971,164748.743993,1280029.548448,0.128707,0.641987,0.00035469
1823,-3,1009345,356866769.169482,166461.596226,1289545.421413,0.129085,0.638227,0.00035029
