p,M_p,B_raw,delta_sq,B_plus_C,ratio,n_farey
44381,-3,1981846594.4153118134,99744343.0531688035,2081590937.4684805870,19.8692630955,598686347
44383,-3,2050773446.6230828762,99748162.7257770002,2150521609.3488597870,20.5595109783,598744359
44389,-3,2136494384.6759436131,99779703.7126030177,2236274088.3885464668,21.4121139388,598903509
44417,-3,2053639783.9439237118,99905994.8144962937,2153545778.7584199905,20.5557212834,599658041
44711,-3,2406595264.4330368042,101209214.6788866669,2507804479.1119236946,23.7784204933,607619223
45121,-3,2093152117.2864530087,103120579.6068377048,2196272696.8932905197,20.2981027188,618819843
45127,-3,2175696367.9586157799,103129219.3286904097,2278825587.2873063087,21.0967985807,618980123
45289,-3,1827163179.8418567181,103875305.1101904809,1931038484.9520471096,17.5899669118,623434897
45553,-3,1711248159.7585806847,105096274.0990944207,1816344433.8576750755,16.2826720017,630722585
45569,-3,1884910912.0912940502,105131474.8505658358,1990042386.9418599606,17.9290827487,631166955
45589,-3,1817604542.3335337639,105240784.0955192596,1922845326.4290530682,17.2709141038,631724455
45631,-3,1735265771.8000392914,105447564.2683068365,1840713336.0683460236,16.4561958718,632885659
45673,-3,1662558104.1659171581,105642687.7547372431,1768200791.9206542969,15.7375596882,634053441
56039,-3,1863774587.2704896927,159022958.0758536458,2022797545.3463432789,11.7201604713,954529939
56113,-3,1955381742.9485509396,159478571.2950962782,2114860314.2436470985,12.2610939330,957053071
56209,-3,2265391827.3731555939,159991400.3240487278,2425383227.6972041130,14.1594599634,960333919
56237,-3,1949705388.4511759281,160142142.3589392006,2109847530.8101150990,12.1748426725,961284889
56393,-3,1575306200.8690257072,161059254.9132294655,1736365455.7822551727,9.7809107693,966628095
65843,-3,2574760540.5204377174,219538097.7599028349,2794298638.2803406715,11.7280807604,1317747627
75869,-3,6221229018.6805620193,291513335.4628925920,6512742354.1434545517,21.3411472542,1749605947
75937,-3,5263921748.0384588242,292089483.2631319165,5556011231.3015909195,18.0216065612,1752741941
75967,-3,5291946371.6898450851,292289906.1077703834,5584236277.7976150513,18.1051287133,1754127869
76249,-3,4735654077.0498857498,294471154.9279539585,5030125231.9778394699,16.0818946026,1767178595
77647,-3,5332605586.5619602203,305321933.7435235977,5637927520.3054838181,17.4655175315,1832577817
77969,-3,5259856879.2877693176,307908089.6241851449,5567764968.9119548798,17.0825550108,1847803229
77983,-3,5177638936.1428527832,307998511.7498329282,5485637447.8926858902,16.8105972549,1848470361
78017,-3,5121130102.1519365311,308274160.8333547711,5429404262.9852914810,16.6122586736,1850078059
78139,-3,4443883704.8915405273,309258390.1541057229,4753142095.0456466675,14.3694846975,1855876873
78191,-3,4827969243.4951305389,309630960.5214070678,5137600204.0165376663,15.5926566108,1858337535
78203,-3,4852926368.0423316956,309711334.6749279499,5162637702.7172594070,15.6691920014,1858918713
78233,-3,4889418849.5100545883,309990533.8534773588,5199409383.3635320663,15.7728005069,1860341967
80953,-3,5842274043.6726427078,331936066.5942850709,6174210110.2669277191,17.6006003313,1991953629
81001,-3,5772325248.3058309555,332370382.8192306161,6104695631.1250619888,17.3671468539,1994315117
84349,-3,9183761721.7451305389,360358412.2453769445,9544120133.9905071259,25.4850765507,2162584227
84421,-3,9094995968.1369800568,361013564.3785349727,9456009532.5155143738,25.1929480373,2166275783
84449,-3,9444737184.2269287109,361232440.9580867887,9805969625.1850147247,26.1458720573,2167712165
84649,-3,9612420365.7704677582,362932457.9529069066,9975352823.7233753204,26.4854249190,2177995049
84653,-3,9717549146.4367065430,362934807.8979929090,10080483954.3346996307,26.7749164174,2178202229
84659,-3,9724241600.5799541473,362964584.6316385269,10087206185.2115936279,26.7911581799,2178510085
90089,-3,6213667051.7605199814,410997765.1681265235,6624664816.9286460876,15.1184935257,2466936637
91433,-3,5003013759.1125659943,423413554.3696385622,5426427313.4822044373,11.8159036419,2541086873
91513,-3,4606591287.3899736404,424188269.1495683193,5030779556.5395421982,10.8597800138,2545529465
