p,mertens_p,m_over_sqrt_p,abs_m
6301,-14,-0.1763694237,14
6311,-21,-0.2643444548,21
6317,-21,-0.2642188855,21
6323,-22,-0.2766693756,22
6329,-22,-0.2765382008,22
6337,-20,-0.2512396282,20
6343,-17,-0.2134526573,17
6353,-18,-0.2258307503,18
6359,-21,-0.2633448819,21
6361,-22,-0.2758417396,22
6367,-24,-0.3007764414,24
6373,-25,-0.3131612727,25
6379,-25,-0.3130139605,25
6389,-23,-0.2877473893,23
6397,-24,-0.3000703372,24
6421,-20,-0.2495908504,20
6427,-20,-0.2494743190,20
6449,-15,-0.1867863220,15
6451,-16,-0.1992078562,16
6469,-15,-0.1864973579,15
6473,-17,-0.2112983559,17
6481,-20,-0.2484328290,20
6491,-17,-0.2110051799,17
6521,-12,-0.1486018260,12
6529,-13,-0.1608866534,13
6547,-11,-0.1359475905,11
6551,-13,-0.1606162761,13
6553,-14,-0.1729449765,14
6563,-15,-0.1851569665,15
6569,-18,-0.2220868653,18
6571,-19,-0.2343893461,19
6577,-22,-0.2712743677,22
6581,-22,-0.2711919135,22
6599,-20,-0.2462016343,20
6607,-21,-0.2583551608,21
6619,-19,-0.2335379214,19
6637,-15,-0.1841218586,15
6653,-13,-0.1593802819,13
6659,-15,-0.1838174562,15
6661,-16,-0.1960425152,16
6673,-12,-0.1468996238,12
6679,-13,-0.1590697617,13
6689,-15,-0.1834047845,15
6691,-15,-0.1833773718,15
6701,-16,-0.1954565252,16
6703,-18,-0.2198557839,18
6709,-19,-0.2319661984,19
6719,-17,-0.2073941972,17
6733,-16,-0.1949914979,16
6737,-17,-0.2071169527,17
6761,-16,-0.1945873101,16
6763,-17,-0.2067184442,17
6779,-17,-0.2064743485,17
6781,-18,-0.2185876560,18
6791,-17,-0.2062918431,17
6793,-18,-0.2183945004,18
6803,-17,-0.2061098209,17
6823,-13,-0.1573822198,13
6827,-13,-0.1573361073,13
6829,-14,-0.1694140713,14
6833,-16,-0.1935594023,16
6841,-16,-0.1934461931,16
6857,-19,-0.2294491886,19
6863,-20,-0.2414198614,20
6869,-19,-0.2292486795,19
6871,-19,-0.2292153124,19
6883,-20,-0.2410688582,20
6899,-18,-0.2167102398,18
6907,-17,-0.2045522182,17
6911,-19,-0.2285510151,19
6917,-19,-0.2284518678,19
6947,-15,-0.1799668891,15
6949,-16,-0.1919370550,16
6959,-17,-0.2037865435,17
6961,-18,-0.2157429874,18
6967,-21,-0.2515917462,21
