Sieving to 10000000...
Sieve complete.
HYPERBOLA MODE: Computing alpha for M(p)=-3 primes up to 10000000
p,M_p,T_N,alpha_approx,T_positive,alpha_lt_1
4796893,-3,91.283559,-90.283559,1,1
4799563,-3,92.307635,-91.307635,1,1
4799573,-3,93.088986,-92.088986,1,1
4799953,-3,89.854240,-88.854240,1,1
5579447,-3,24.829320,-23.829320,1,1
5579557,-3,23.363522,-22.363522,1,1
5622847,-3,29.446571,-28.446571,1,1
5622889,-3,28.923618,-27.923618,1,1
5622899,-3,28.380807,-27.380807,1,1
5622961,-3,28.388822,-27.388822,1,1
5623169,-3,29.237049,-28.237049,1,1
5623213,-3,26.511726,-25.511726,1,1
5623537,-3,32.316748,-31.316748,1,1
5623543,-3,32.189886,-31.189886,1,1
7770097,-3,36.098403,-35.098403,1,1
7770131,-3,35.807160,-34.807160,1,1
7776929,-3,18.146902,-17.146902,1,1
7776931,-3,17.367419,-16.367419,1,1
7776941,-3,16.637163,-15.637163,1,1
7776983,-3,17.109723,-16.109723,1,1
7777009,-3,17.759845,-16.759845,1,1
7810039,-3,41.110971,-40.110971,1,1
7810433,-3,38.015287,-37.015287,1,1
7810801,-3,42.810813,-41.810813,1,1
7811173,-3,45.724158,-44.724158,1,1
7820947,-3,46.836247,-45.836247,1,1
7832533,-3,51.896477,-50.896477,1,1
8084371,-3,41.980548,-40.980548,1,1
8084597,-3,42.553047,-41.553047,1,1
8084837,-3,39.359449,-38.359449,1,1
8084873,-3,38.712475,-37.712475,1,1
8085307,-3,32.801873,-31.801873,1,1
8085313,-3,32.123639,-31.123639,1,1
8085529,-3,32.460739,-31.460739,1,1
8086181,-3,33.876730,-32.876730,1,1
8086187,-3,33.540484,-32.540484,1,1
8087627,-3,38.835187,-37.835187,1,1
8087633,-3,38.620675,-37.620675,1,1
8087647,-3,37.991692,-36.991692,1,1
8089087,-3,22.214942,-21.214942,1,1
8089157,-3,20.175051,-19.175051,1,1
