p,mertens_p,m_over_sqrt_p,cross_term_handoff
9397,-3,-0.030947576225,-2.311131412300496221e+07
9403,-8,-0.082500535772,-3.033969601288204218e+07
9413,-7,-0.072149613785,-2.849839532645752330e+07
9419,-11,-0.113341847302,-3.531389721213038828e+07
9421,-12,-0.123632526433,-3.727189108263736678e+07
9431,-14,-0.144161457100,-3.940696556683576825e+07
9433,-15,-0.154442328874,-4.176071620918141260e+07
9437,-16,-0.164703567116,-4.450151422536664557e+07
9439,-17,-0.174978999239,-4.670160835737608506e+07
9461,-17,-0.174775438387,-4.649780511166458798e+07
9463,-17,-0.174756968063,-4.804253564453485401e+07
9467,-18,-0.184997694680,-5.037930316283352739e+07
9473,-18,-0.184939098566,-5.051358748358327071e+07
9479,-21,-0.215693984445,-5.470636872787897498e+07
9491,-21,-0.215557584357,-5.339582063316710295e+07
9497,-22,-0.225750885150,-5.459621458394249430e+07
9511,-20,-0.205076975990,-5.227074785597310946e+07
9521,-22,-0.225466175565,-5.585082175009674339e+07
9533,-22,-0.225324224129,-5.299136001862718737e+07
9539,-22,-0.225253348880,-5.397626901942105180e+07
9547,-24,-0.245627948183,-5.838123698992496705e+07
9551,-25,-0.255808862265,-5.999878406796819162e+07
9587,-19,-0.194049370075,-4.557069033239151913e+07
9601,-18,-0.183702163137,-4.302355700585768211e+07
9613,-17,-0.173388164928,-4.126814912596499624e+07
9619,-16,-0.163137957381,-4.084881125354292909e+07
9623,-18,-0.183492054017,-4.338195774415488422e+07
9629,-17,-0.173244050064,-4.387888512777294138e+07
9631,-18,-0.183415829254,-4.602811368411917485e+07
9643,-19,-0.193485096125,-4.665334756451841328e+07
9649,-19,-0.193424929729,-4.671507198824055972e+07
9661,-19,-0.193304765131,-4.691007384069222788e+07
9677,-17,-0.172813852070,-4.152494854217213503e+07
9679,-19,-0.193124937412,-4.471087283657050985e+07
9689,-22,-0.223502920738,-4.909971603030126379e+07
9697,-25,-0.253875803464,-5.208680414093795598e+07
9719,-32,-0.324593027975,-5.978600611332742660e+07
9721,-33,-0.334702123953,-6.238190894134786186e+07
9733,-32,-0.324359495780,-6.037046228266603504e+07
9739,-34,-0.344525787536,-6.470451782919047766e+07
9743,-35,-0.354586088648,-6.782762918935402785e+07
9749,-36,-0.364604870315,-6.882936478101640222e+07
9767,-31,-0.313675861885,-5.854128806520494614e+07
9769,-32,-0.323761291283,-6.094390690367232717e+07
9781,-31,-0.313451292076,-6.030317119678735612e+07
9787,-33,-0.333571659632,-6.422298415463992636e+07
9791,-34,-0.343609681345,-6.667026296713536033e+07
9803,-33,-0.333299328403,-6.486709437251431161e+07
9811,-34,-0.343259273665,-6.648588087178397939e+07
9817,-36,-0.363339910830,-7.091157303466045564e+07
9829,-38,-0.383291271223,-7.496048530319508969e+07
9833,-41,-0.413466984928,-7.965786463332747584e+07
9839,-41,-0.413340895883,-8.066241523844807636e+07
9851,-41,-0.413089063469,-8.189086478296729686e+07
9857,-42,-0.423035595842,-8.382422784350712071e+07
9859,-42,-0.422992685095,-8.548285273480773878e+07
9871,-39,-0.392540102078,-7.903505411835775133e+07
9883,-41,-0.412419754167,-8.218964311727720503e+07
9887,-42,-0.422393302447,-8.523488021007525158e+07
9901,-38,-0.381895082655,-7.996594948525887324e+07
9907,-37,-0.371732594254,-8.032126681052233726e+07
9923,-38,-0.381471503406,-8.124771240865263267e+07
9929,-40,-0.401427606519,-8.466688914825485293e+07
9931,-40,-0.401387182813,-8.658003767991538799e+07
9941,-35,-0.351037091392,-7.959089704927903506e+07
9949,-35,-0.350895928386,-7.956684061150144666e+07
9967,-34,-0.340562392304,-7.766324521544087413e+07
