Sieving to 243799 ...
Sieve done. Scanning qualifying primes (M(p) <= -3) up to 200000 ...
p,M_p,R,min_R_so_far
3049,-3,8.55666312,0.11989382
3061,-6,10.34607043,0.11989382
3067,-3,8.93371735,0.11989382
3079,-3,8.36050939,0.11989382
3083,-6,10.39051200,0.11989382
3089,-5,10.16272776,0.11989382
3617,-3,9.61041167,0.11989382
3623,-5,11.70983763,0.11989382
3631,-5,11.82090337,0.11989382
3637,-7,13.05153368,0.11989382
3643,-8,13.22195531,0.11989382
3659,-7,11.97634437,0.11989382
3671,-3,9.52320221,0.11989382
3673,-4,10.53651830,0.11989382
3677,-6,11.72716327,0.11989382
3691,-9,12.66151845,0.11989382
3697,-7,11.88166290,0.11989382
3701,-8,12.87012274,0.11989382
3709,-9,13.20245478,0.11989382
3719,-7,11.73322135,0.11989382
3727,-8,12.67351270,0.11989382
3733,-12,15.56119973,0.11989382
3739,-10,14.85118700,0.11989382
3761,-6,12.05644339,0.11989382
3767,-8,12.69967719,0.11989382
3769,-9,13.80176120,0.11989382
3779,-6,12.78681670,0.11989382
3793,-7,11.74578999,0.11989382
3797,-8,12.93745850,0.11989382
3803,-8,13.16036783,0.11989382
3821,-8,12.84324265,0.11989382
3823,-9,13.78111177,0.11989382
3833,-7,11.90235939,0.11989382
3847,-8,12.00563984,0.11989382
3851,-8,12.36069229,0.11989382
3853,-9,13.43140076,0.11989382
3863,-12,15.35257222,0.11989382
3877,-9,12.47718885,0.11989382
3881,-11,13.76905267,0.11989382
3889,-12,13.92358880,0.11989382
3907,-8,11.09999992,0.11989382
3911,-7,10.82454645,0.11989382
3917,-10,13.42159242,0.11989382
3919,-12,14.79745556,0.11989382
3923,-13,15.63083626,0.11989382
3929,-14,16.36577881,0.11989382
3931,-14,17.06906431,0.11989382
3943,-15,17.16829424,0.11989382
3947,-16,18.29179507,0.11989382
3967,-15,15.90782516,0.11989382
3989,-10,11.58953765,0.11989382
4001,-10,11.25404919,0.11989382
4003,-10,11.97110172,0.11989382
4007,-10,12.47382278,0.11989382
4013,-12,13.79959181,0.11989382
4019,-15,16.25227513,0.11989382
4021,-16,17.08647039,0.11989382
4027,-15,17.21745381,0.11989382
4049,-13,14.67796107,0.11989382
4051,-14,15.64724313,0.11989382
4057,-14,15.66935570,0.11989382
4073,-14,14.80438433,0.11989382
4079,-13,14.52648649,0.11989382
4091,-17,16.81533245,0.11989382
4093,-18,17.65579630,0.11989382
4099,-20,18.40575189,0.11989382
4111,-16,16.08699234,0.11989382
4127,-14,14.25512063,0.11989382
4129,-15,15.28439478,0.11989382
4133,-15,15.68990412,0.11989382
4139,-14,15.76050158,0.11989382
4153,-14,15.26520253,0.11989382
4157,-17,17.05237156,0.11989382
4159,-18,17.98203742,0.11989382
4177,-14,15.61121506,0.11989382
4201,-8,10.86621860,0.11989382
4211,-12,12.28322086,0.11989382
4217,-13,13.09109678,0.11989382
4219,-13,13.74488883,0.11989382
4229,-10,12.75247726,0.11989382
4231,-11,13.62934376,0.11989382
4241,-14,15.46042397,0.11989382
4243,-14,16.14802510,0.11989382
4253,-16,16.50551245,0.11989382
4259,-18,18.30517413,0.11989382
4261,-19,19.16951023,0.11989382
4271,-15,17.39229464,0.11989382
4273,-16,18.37403892,0.11989382
4283,-13,17.18886459,0.11989382
4289,-11,16.14888065,0.11989382
4297,-12,16.49041533,0.11989382
4327,-6,11.43368072,0.11989382
4337,-7,11.49011001,0.11989382
4339,-8,12.58864857,0.11989382
4349,-10,13.36088081,0.11989382
4357,-11,13.86472186,0.11989382
4363,-11,13.98317461,0.11989382
4373,-11,13.55493161,0.11989382
4391,-8,9.94327865,0.11989382
4397,-9,10.76359964,0.11989382
4409,-11,11.92393415,0.11989382
4421,-7,8.50885173,0.11989382
4423,-7,9.20370499,0.11989382
4441,-8,8.63702879,0.11989382
4447,-8,9.28582647,0.11989382
4451,-8,9.67028439,0.11989382
4457,-9,9.91823005,0.11989382
4463,-11,11.24705577,0.11989382
4481,-5,8.09186514,0.11989382
4483,-6,9.14009791,0.11989382
4493,-5,8.39742566,0.11989382
4507,-6,8.93033066,0.11989382
4513,-5,8.61244751,0.11989382
4517,-6,9.40038836,0.11989382
4519,-7,10.51846302,0.11989382
4523,-8,11.84202082,0.11989382
4547,-3,8.12333044,0.11989382
4549,-4,9.28809202,0.11989382
4561,-4,8.68492739,0.11989382
4567,-6,10.44376006,0.11989382
4591,-3,8.36201262,0.11989382
4643,-3,8.25943139,0.11989382
4649,-3,8.36521023,0.11989382
4651,-4,9.34400728,0.11989382
4657,-6,10.86720960,0.11989382
4663,-6,10.80237070,0.11989382
4673,-8,12.26707313,0.11989382
4679,-6,12.18463661,0.11989382
5039,-6,12.43511021,0.11989382
5051,-5,12.25816081,0.11989382
5059,-5,12.19238250,0.11989382
5077,-5,11.15207156,0.11989382
5081,-4,11.09111279,0.11989382
5087,-5,12.80935456,0.11989382
5147,-3,9.41062548,0.11989382
