p,M,n,A,B,C,D,B_A,C_A,D_A,BCD_A
433,-4,56785,68052.689366,45090.223462,9341.550789,68245.792148,0.662578,0.137269,1.002838,1.802685
439,-7,58377,70782.534861,57097.057244,9445.632161,70759.182232,0.806655,0.133446,0.999670,1.939770
443,-9,59419,72927.123651,72429.154739,9705.223805,72943.627540,0.993172,0.133081,1.000226,2.126479
449,-7,61067,74274.224617,66071.572373,9959.749797,74775.198218,0.889563,0.134094,1.006745,2.030402
457,-6,63217,76768.061886,62648.831301,10453.318052,76939.063457,0.816079,0.136168,1.002228,1.954474
461,-6,64365,78247.212110,69907.550090,10486.516451,79111.284165,0.893419,0.134018,1.011043,2.038480
463,-6,64945,79874.018510,79142.884283,10726.367940,79559.112311,0.990846,0.134291,0.996057,2.121195
467,-7,66103,82463.128895,89601.338431,10641.852518,83363.321199,1.086562,0.129050,1.010916,2.226529
479,-6,69515,85043.632786,77969.349178,11115.695163,86692.461378,0.916816,0.130706,1.019388,2.066910
487,-5,71823,87330.067551,74009.116808,11717.307483,87777.143737,0.847464,0.134173,1.005119,1.986756
491,-5,73041,89330.834787,77795.196546,12007.985378,90094.580448,0.870866,0.134422,1.008550,2.013837
499,-6,75419,91463.026524,84595.783347,12289.924935,91940.390782,0.924918,0.134370,1.005219,2.064507
503,-5,76699,93974.431198,82074.124022,12290.302590,95947.827038,0.873367,0.130783,1.020999,2.025149
509,-6,78529,96228.530285,89239.611410,12689.331663,97777.442043,0.927372,0.131867,1.016096,2.075334
523,-3,82909,101563.969535,78765.719287,13739.147826,101211.707457,0.775528,0.135276,0.996532,1.907336
617,-3,115381,141320.184645,112005.321620,19056.496187,142402.508914,0.792564,0.134846,1.007659,1.935069
619,-5,116201,143772.638858,138735.005321,19066.403782,144149.594507,0.964961,0.132615,1.002622,2.100198
631,-3,120689,148266.722937,119433.800334,20184.264169,146311.399366,0.805533,0.136135,0.986812,1.928480
643,-4,125391,154899.459693,131413.908453,20418.761079,156391.065319,0.848382,0.131819,1.009630,1.989831
647,-7,126921,158258.282474,178265.084474,20681.304237,159836.075734,1.126419,0.130681,1.009970,2.267069
653,-8,129287,161533.165990,194258.102726,21237.792367,160509.950995,1.202590,0.131476,0.993666,2.327732
659,-10,131703,166444.792222,210276.897148,21388.588599,167152.338392,1.263343,0.128503,1.004251,2.396097
661,-11,132521,169636.369643,233689.494523,21915.718957,166206.169440,1.377591,0.129192,0.979779,2.486562
673,-11,137319,173226.705008,229670.841567,22873.175848,169365.610698,1.325840,0.132042,0.977711,2.435592
677,-11,138999,176637.658063,241876.870996,22969.909383,173797.131462,1.369339,0.130040,0.983919,2.483298
683,-12,141483,180470.428754,252870.447258,23129.409198,179112.871157,1.401174,0.128162,0.992478,2.521813
691,-9,144811,182111.755154,219760.502032,23931.421521,181168.832127,1.206734,0.131411,0.994822,2.332967
701,-5,149019,185535.158509,167828.932259,24459.992258,185777.960057,0.904567,0.131835,1.001309,2.037710
709,-4,152455,188306.795004,157763.901748,24998.262373,188869.469676,0.837802,0.132753,1.002988,1.973543
719,-3,156785,192675.205600,136937.248271,25319.449234,196248.357441,0.710715,0.131410,1.018545,1.860670
733,-3,162969,201042.644538,139937.293716,26796.222805,201812.979536,0.696058,0.133286,1.003832,1.833176
743,-5,167425,207113.281581,199100.176421,27462.671566,206779.737550,0.961311,0.132597,0.998390,2.092297
751,-3,171019,211567.303099,173212.689453,28257.360011,210919.490013,0.818712,0.133562,0.996938,1.949212
757,-3,173789,215458.479639,174420.166735,28934.550505,214205.265522,0.809530,0.134293,0.994184,1.938007
761,-4,175651,219446.793574,210141.697781,29107.601967,218104.226018,0.957597,0.132641,0.993882,2.084120
769,-3,179409,223785.656425,183685.133742,29544.975084,223431.890767,0.820808,0.132024,0.998419,1.951251
829,-3,208537,259189.339330,203682.603845,34537.069481,260849.194210,0.785845,0.133250,1.006404,1.925499
839,-3,213559,264954.967053,200944.978108,34620.612970,267444.458880,0.758412,0.130666,1.009396,1.898474
863,-3,226001,285474.906054,270944.389010,36751.781305,286214.962920,0.949101,0.128739,1.002592,2.080432
1031,-5,322533,405514.191782,386464.644853,52994.920611,406971.345296,0.953024,0.130686,1.003593,2.087303
1033,-6,323899,410358.036120,448205.283880,53448.120754,408374.276864,1.092230,0.130248,0.995166,2.217643
1039,-8,327655,415179.577041,519493.234023,53720.970519,414604.355149,1.251249,0.129392,0.998615,2.379256
1049,-5,333971,421427.759964,444197.764302,54767.112519,422483.252622,1.054031,0.129956,1.002505,2.186491
1051,-6,335259,426278.204727,500715.296120,55719.283100,423559.759277,1.174621,0.130711,0.993623,2.298955
1061,-5,341647,431841.664469,455904.033722,56541.096228,431550.444863,1.055720,0.130930,0.999326,2.185976
1063,-6,343055,436334.498476,520692.865625,56537.518234,435510.582314,1.193334,0.129574,0.998112,2.321020
1069,-8,346901,441388.286068,606595.064625,57307.577995,438006.826941,1.374289,0.129835,0.992339,2.496463
