p,M_p,R,B_plus_C_sign,margin_above_neg1
2293,1,6.111853,1,7.111853
2297,-1,7.763831,1,8.763831
2309,0,6.827055,1,7.827055
2311,-2,8.010287,1,9.010287
2333,2,4.673479,1,5.673479
2339,-1,6.210004,1,7.210004
2341,-2,7.131876,1,8.131876
2347,-3,8.432874,1,9.432874
2351,-4,9.340342,1,10.340342
2357,-6,10.658437,1,11.658437
2371,-2,8.302326,1,9.302326
2377,-3,9.071174,1,10.071174
2381,-6,11.060169,1,12.060169
2383,-8,12.358054,1,13.358054
2389,-9,13.922472,1,14.922472
2393,-10,14.755180,1,15.755180
2399,-12,15.704061,1,16.704061
2411,-15,17.054515,1,18.054515
2417,-15,17.181023,1,18.181023
2423,-15,17.134645,1,18.134645
2437,-11,14.408100,1,15.408100
2441,-13,15.787377,1,16.787377
2447,-12,15.885880,1,16.885880
2459,-11,14.397022,1,15.397022
2467,-10,13.987343,1,14.987343
2473,-8,12.942916,1,13.942916
2477,-8,13.234995,1,14.234995
2503,-1,7.596169,1,8.596169
2521,1,4.521769,1,5.521769
2531,-1,5.258879,1,6.258879
2539,-1,4.908738,1,5.908738
2543,-3,6.661733,1,7.661733
2549,-4,7.173343,1,8.173343
2551,-5,8.076392,1,9.076392
2557,-7,10.061486,1,11.061486
2579,3,2.535710,1,3.535710
2591,5,1.094303,1,2.094303
2593,4,2.101954,1,3.101954
2609,6,0.294944,1,1.294944
2617,7,-0.555239,1,0.444761
2621,7,0.199715,1,1.199715
2633,9,-1.532214,0,-0.532214
2647,9,-2.109278,0,-1.109278
2657,12,-4.098424,0,-3.098424
2659,10,-2.727125,0,-1.727125
2663,10,-2.572949,0,-1.572949
2671,8,-0.761052,1,0.238948
2677,6,0.623952,1,1.623952
2683,4,2.065128,1,3.065128
2687,1,4.297827,1,5.297827
2689,0,5.304493,1,6.304493
2693,-2,6.605700,1,7.605700
2699,-6,9.038353,1,10.038353
2707,-6,9.022911,1,10.022911
2711,-8,10.355647,1,11.355647
2713,-9,11.432306,1,12.432306
2719,-13,14.588790,1,15.588790
2729,-12,14.078770,1,15.078770
2731,-14,15.311686,1,16.311686
2741,-14,15.637760,1,16.637760
2749,-13,14.938658,1,15.938658
2753,-15,16.503708,1,17.503708
2767,-16,16.356257,1,17.356257
2777,-18,16.794385,1,17.794385
2789,-19,17.003375,1,18.003375
2791,-20,17.908728,1,18.908728
2797,-23,20.212345,1,21.212345
2801,-23,20.476275,1,21.476275
2803,-25,21.845918,1,22.845918
2819,-21,18.969104,1,19.969104
2833,-23,19.678235,1,20.678235
2837,-25,20.880110,1,21.880110
2843,-23,20.150636,1,21.150636
2851,-24,21.201854,1,22.201854
2857,-23,20.813497,1,21.813497
2861,-22,20.457246,1,21.457246
2879,-20,18.675066,1,19.675066
2887,-19,18.286497,1,19.286497
2897,-19,18.349683,1,19.349683
2903,-17,17.170594,1,18.170594
2909,-18,18.289319,1,19.289319
2917,-18,18.613466,1,19.613466
2927,-17,18.129366,1,19.129366
2939,-17,17.085910,1,18.085910
2953,-15,15.475026,1,16.475026
2957,-18,17.174745,1,18.174745
2963,-16,16.728899,1,17.728899
2969,-16,17.020101,1,18.020101
2971,-17,17.973106,1,18.973106
2999,-6,10.307707,1,11.307707
