scenario,seed,kernel,kernel_param,match_mode,mode,alpha,cross_curve_ratio,cross_curve_cv,max_within_cv,score,passes_old_gate,passes_primary_gate,mean_37a1,mean_11a1,mean_389a1,cv_37a1,cv_11a1,cv_389a1,tail_ratio,tail_max_cv,tail_slope_37a1,tail_slope_11a1,tail_slope_389a1,loo_k_pass_count,loo_k_ratio_min,loo_k_ratio_max,loo_k_ratio_range,loo_k_maxcv_min,loo_k_maxcv_max,loo_k_maxcv_range
real,,exponential,3,none,P_only,0.65,1.4602292081409842,0.15877978722569547,0.090583274670735528,0.46917668994643186,False,False,1.6380478352780194,1.1696210584834332,1.7079148320542834,0.07156255139837811,0.053021985971783189,0.090583274670735528,1.4465823264639135,0.090791631074922635,0.019263761915254713,0.010004437712128784,-0.002377645529181906,0,1.433445324235106,1.4833828642004254,0.049937539965319466,0.075706184980879901,0.097884415308835446,0.022178230327955545
real,,exponential,3,none,P_only,0.75,1.4082734628302438,0.14369673788223067,0.070992720200031653,0.41335717983758857,True,False,1.6042522093383269,1.1902634916475652,1.6762164890629336,0.064046597610054753,0.055715835083757534,0.070992720200031653,1.3826309490169135,0.066928631846463055,0.027191015233144069,0.0082104730473540454,-0.017085366198183519,6,1.3929857531986662,1.4296544161931444,0.036668662994478129,0.062110400663149476,0.076697529180671895,0.014587128517522419
real,,exponential,3,none,P_only,0.85,1.3561940025227148,0.13063928806490624,0.075199601917769726,0.37988185090949589,True,False,1.5934382563105671,1.2070240205238556,1.6369587375353072,0.048164128182432167,0.050172659620850893,0.075199601917769726,1.328015462220375,0.052102906952265486,0.021700502021660191,-0.015813630449217148,-0.039773714499015483,7,1.3341519995067432,1.3703660007258891,0.036214001219145864,0.065551582570025718,0.080859653636736806,0.015308071066711088
real,,exponential,3,none,P_only,0.92,1.3788353393333028,0.14034374318272988,0.059274001592563456,0.3805131874246106,True,False,1.6348023476278122,1.1856400115319607,1.6165454586513124,0.059274001592563456,0.049539362126739421,0.048167973663966891,1.3691219707578517,0.029593210529246104,0.018117554949973906,-0.010922715735101498,0.0010822674224482192,7,1.349345289690552,1.3908949609604848,0.041549671269932809,0.051020759082490784,0.063714442722025408,0.012693683639534624
real,,exponential,3,none,all,0.5,1.3794491538935689,0.13949490057453576,0.10119817972848873,0.42288243536526826,False,False,1.6279390355555805,1.1801370358310312,1.6008387619036433,0.026972324667021749,0.013146729208600921,0.10119817972848873,1.4101114708449543,0.028628606707447952,0.012425037495980789,-0.012788011946647051,-0.026663038214225641,1,1.3724572228658019,1.3919149046113024,0.019457681745500555,0.043651024231196614,0.10889811617579088,0.065247091944594271
real,,exponential,3,none,all,0.65,1.375903866450882,0.14115000282900497,0.079837253448509046,0.39894812602111779,True,False,1.5927642594401861,1.1606827170385967,1.5969878380961202,0.066217311562119838,0.013681007340290459,0.079837253448509046,1.4236933634128328,0.091220691238023649,0.020076751173924469,0.011677739239138065,0.00062239818019791662,6,1.3638288280259911,1.402611254786694,0.038782426760702871,0.07159812469945219,0.086271099684476646,0.014672974985024456
real,,exponential,3,none,all,0.75,1.3643478380141667,0.13552668265437781,0.067119268548343269,0.37779580866613982,True,False,1.5803658101016889,1.1740240043683274,1.6017771121366622,0.059915964984226362,0.030719038694760854,0.067119268548343269,1.4324487998477657,0.067205938347425526,0.028438705347483498,-0.019019697382761137,-0.015398111398838739,7,1.3458341147540749,1.3856049586484021,0.039770843894327168,0.061183679146043862,0.072482420286772958,0.011298741140729096
real,,exponential,3,none,all,0.85,1.342247182002601,0.12998199554596729,0.073583888186146806,0.36792909904656035,True,False,1.5831818828306805,1.187504900021247,1.5939251056677992,0.046811456692578295,0.024430060701274046,0.073583888186146806,1.4041493741563986,0.051973562312262259,0.025401029782404577,0.013715957221293602,-0.037833137830441545,7,1.319506837389735,1.3727625628315321,0.05325572544179713,0.062582165678823812,0.07896089618964304,0.016378730510819228
real,,exponential,3,none,all,0.92,1.3806255338821074,0.13898683951423768,0.053284106178642092,0.37582078806677016,True,False,1.6267512449386332,1.1782711568171986,1.5919390091328707,0.053284106178642092,0.028690639467603935,0.048710102045525755,1.3964508997353169,0.031348884708121534,0.01750246485837539,0.020574758609849298,0.0019455856576756486,7,1.3517525150580598,1.4070079811622627,0.055255466104202844,0.051730526451370787,0.057326749656732109,0.0055962232053613226
real,,exponential,3,none,cP_only,0.5,1.3794305276919305,0.13952525505821348,0.10159317908697552,0.42326393199526496,False,False,1.6279170540851902,1.1801370358310312,1.6011337096282878,0.02700457709416882,0.013146729208600921,0.10159317908697552,1.4101118311803074,0.028629132430889919,0.012424766892979814,-0.012788011946647051,-0.026664421494039432,1,1.3724341987234603,1.3919198620176743,0.019485663294213973,0.043670024581646975,0.10933863934419241,0.06566861476254543
