scenario,seed,kernel,kernel_param,match_mode,match_basis,match_target_mass,mode,alpha,effective_alpha_n,effective_alpha_p,curve,source_curve,true_rank,assigned_rank,conductor,K,c,P,D,D_zeta2,L2,L2_rank_power,X,p_max,prime_count,product_complete
real,,exponential,3,none,alpha,0.65000000000000002,cP_only,0.65,0.65000000000000002,0.65000000000000002,389a1,389a1,2,2,389,3000,45.284007084488962,0.0028936653971903211,0.13103676434650707,0.21554683768313257,0.36011098951509601,0.1296799247695416,1.6621449932685251,2999,430,True
real,,exponential,3,none,alpha,0.65000000000000002,P_only,0.65,0.65000000000000002,0.65000000000000002,389a1,389a1,2,2,389,3000,49.229072333537445,0.0028936653971903211,0.14245246314733667,0.2343249095374956,0.36011098951509601,0.1296799247695416,1.8069482223553259,2999,430,True
real,,exponential,3,none,alpha,0.65000000000000002,PL2_only,0.65,0.65000000000000002,0.65000000000000002,389a1,389a1,2,2,389,3000,49.229072333537445,0.0028936653971903211,0.14245246314733667,0.2343249095374956,0.36011747087533047,0.12968459282964448,1.8068831803736942,2999,430,True
real,,exponential,3,none,alpha,0.65000000000000002,all,0.65,0.65000000000000002,0.65000000000000002,37a1,37a1,1,1,37,10000,27.24340748410285,0.013405305528792714,0.36520620096979672,0.60074012139943844,0.38157773537351752,0.38157773537351752,1.5743584221741553,9973,1229,True
real,,exponential,3,none,alpha,0.65000000000000002,cP_only,0.65,0.65000000000000002,0.65000000000000002,37a1,37a1,1,1,37,10000,27.24340748410285,0.013405305528792714,0.36520620096979672,0.60074012139943844,0.38157704685050614,0.38157704685050614,1.5743612629687229,9973,1229,True
real,,exponential,3,none,alpha,0.65000000000000002,P_only,0.65,0.65000000000000002,0.65000000000000002,37a1,37a1,1,1,37,10000,27.925452718688575,0.013405305528792714,0.37434922572387547,0.61577979429145913,0.38157704685050614,0.38157704685050614,1.6137757744446004,9973,1229,True
real,,exponential,3,none,alpha,0.65000000000000002,PL2_only,0.65,0.65000000000000002,0.65000000000000002,37a1,37a1,1,1,37,10000,27.925452718688575,0.013405305528792714,0.37434922572387547,0.61577979429145913,0.38157773537351752,0.38157773537351752,1.61377286253006,9973,1229,True
real,,exponential,3,none,alpha,0.65000000000000002,all,0.65,0.65000000000000002,0.65000000000000002,11a1,11a1,0,0,11,10000,4.2369875447256025,0.16936186384487326,0.71758410766224134,1.1803785445225061,0.54604072999043085,1,1.1803785445225061,9973,1229,True
real,,exponential,3,none,alpha,0.65000000000000002,cP_only,0.65,0.65000000000000002,0.65000000000000002,11a1,11a1,0,0,11,10000,4.2369875447256025,0.16936186384487326,0.71758410766224134,1.1803785445225061,0.54604444648364747,1,1.1803785445225061,9973,1229,True
real,,exponential,3,none,alpha,0.65000000000000002,P_only,0.65,0.65000000000000002,0.65000000000000002,11a1,11a1,0,0,11,10000,3.8296192861649119,0.16936186384487326,0.64859146012116253,1.0668901882201332,0.54604444648364747,1,1.0668901882201332,9973,1229,True
